製作,黒澤明,Producer,Akira Kurosawa
,本木荘二郎,,Sojiro Motoki
,,,
脚本,小国英雄,Screenplay,Hideo Oguni
,橋本忍,,Shinobu Hashimoto
,菊島隆三,,Ryuzo Kikushima
,黒澤明,,Akira Kurosawa
,,,
撮影,中井朝一,Photography,Asakazu Nakai
美術,村木与四郎,Art,Yoshiro Muraki
録音,矢野口文雄,Sound,Fumio Yanoguchi
照明,岸田九一郎,Lighting,Kuichiro Kishida
美術監修,江崎孝坪,Art Supervisor,Kohei Ezaki
,,,
音楽,佐藤勝,Music,Masaru Sato
監督助手,野長瀬三摩地,Assistant Director,Samaji Nonagase
特殊技術,東宝技術部,Developing,Toho Laboratory
製作担当者,根津博,Production Manager,Hiroshi Nezu
,,,
出演者,,Performers,
,,,
,三船敏郎,,Toshiro Mifune
,山田五十鈴,,Isuzu Yamada
,,,
,志村喬,,Takashi Shimura
,久保明,,Akira Kubo
,太刀川洋一,,Yoichi Tachikawa
,千秋実,,Minoru Chiaki
,,,
,佐々木孝丸,,Takamaru Sasaki
,清水元,,Gen Shimizu
,高堂国典,,Kuninori Kodo
,上田吉二郎,,Kichijiro Ueda
,三好栄子,,Eiko Miyoshi
,浪花千栄子,,Chieko Naniwa
,,,
,富田仲次郎,,Nakajiro Tomita
,藤木悠,,Yu Fujiki
,堺左千夫,,Sachio Sakai
,大友伸,,Shin Otomo
,土屋嘉男,,Yoshio Tsuchiya
,稲葉義男,,Yoshio Inaba
,,,
,笈川武夫,,Takeo Oikawa
,谷晃,,Akira Tani
,沢村いき雄,,Ikio Sawamura
,佐田豊,,Yutaka Sada
,恩田清二郎,,Seijiro Onda
,高木新平,,Shinpei Takagi
,,,
,増田正雄,,Masao Masuda
,浅野光男 (東映),,Mitsuo Asano (Toei)
,井上昭文,,Shobun Inoue
,小池朝雄,,Asao Koike
,加藤武,,Takeshi Kato
,高木均,,Hitoshi Takagi
,樋口迪也,,Michiya Higuchi
,,,
,大村千吉,,Senkichi Omura
,桜井巨郎,,Giro Sakurai
,土屋詩朗,,Shiro Tsuchiya
,松下猛夫,,Takeo Matsushita
,大友純,,Jun Otomo
,坪野鎌之,,Kamayuki Tsubono
,大橋史典,,Fuminori Ohashi
,,,
特別出演,木村功,Special Appearance,Isao Kimura
,宮口精二,,Seiji Miyaguchi
,中村伸郎,,Nobuo Nakamura
流鏑馬指導,金子家教（大日本弓馬会範士）,Horse Archery Instruction,Iori Kaneko (Dainippon Horse Parliament)
,遠藤茂（大日本弓馬会教士）,,Shigeru Endo (Dainippon Horse Association)
,,,
監督,黒澤明,Director,Akira Kurosawa
