企画,斉藤米二郎,Planning,Yonejiro Saito
脚本,高橋二三,Screenplay,Nisan Takahashi
,,,
撮影,宗川信夫,Photography,Nobuo Munekawa
録音,渡辺利一,Sound,Toshikazu Watanabe
照明,伊藤幸夫,Lighting,Yukio Ito
美術,井上章,Art,Akira Inoue
,,,
音楽,山内正,Music,Tadashi Yamanouchi
編集,中静達治,Editor,Tatsuji Nakashizuka
助監督,阿部志馬,Assistant Director,Shiba Abe
製作主任,上嶋博明,Production Manager,Hiroaki Ueshima
,,,
特殊撮影,築地米三郎,Special Photography,Yonesaburo Tsukiji
特撮美術,井上章,Special Effects Art,Akira Inoue
合成,藤井和文,Synthesis,Kazufumi Fujii
照明,石坂守,Lighting,Mamoru Ishizaka
助監督,石田潔,Assistant Director,Kiyoshi Ishida
製作主任,川村清,Production Manager,Kiyoshi Kawamura
,,,
出演者,,Performers,
,,,
,船越英二,,Eiji Funakoshi
,山下洵一郎,,Junichiro Yamashita
,姿美千子,,Michiko Sugata
,霧立はるみ,,Harumi Kiritachi
,,,
,北原義郎,,Yoshiro Kitahara
,左卜全,,Bokuzen Hidari
,浜村純,,Jun Hamamura
,北城寿太郎,,Jutaro Hojo
,吉田義夫,,Yoshio Yoshida
,大山健二,,Kenji Oyama
,小山内淳,,Jun Koyamauchi
,藤山浩二,,Koji Fujiyama
,大橋一元,,Kazumoto Ohashi
,,,
,高田宗彦,,Munehiko Takada
,谷謙一,,Kenichi Tani
,中田勉,,Tsutomu Nakata
,森矢雄二,,Yuji Moriya
,丸山修,,Osamu Maruyama
,内田喜郎（ひまわり）,,Yoshiro Uchida (Himawari)
,槙俊夫,,Toshio Maki
,隅田一男,,Kazuo Sumida
,杉森麟,,Rin Sugimori
,村田扶美子,,Emiko Murata
,,,
,竹内哲郎,,Tetsuro Takeuchi
,志保京助,,Kyosuke Shiho
,中原健,,Ken Hakahara
,森一夫,,Kazuo Mori
,佐山真次,,Shinji Sayama
,喜多大八,,Daihachi Kita
,大庭健二,,Kenji Oba
,荒木康夫,,Yasuo Araki
,井上大吾,,Daigo Inoue
,三夏伸,,Shin Minatsu
,,,
,清水昭,,Akira Shimizu
,松山新一,,Shinichi Matsuyama
,岡郁二,,Ikuji Oka
,藤井竜史,,Ryuji Fujii
,山根圭一郎,,Keiichiro Yamane
,村松若代,,Wakashiro Muramatsu
,甲千鶴,,Chizuro Kinoe
,沖良子,,Ryoko Oki
,,,
,後藤武彦,,Takehiko Goto
,加川東一郎,,Toichiro Kagawa
,伊勢一郎,,Ichiro Ise
,佐原新治,,Shinji Sahara
,宗近一,,Chikaichi Mune
,劇団ひまわり,,Himawari Theater Company
,Ｍ・アパナイ,,M. Apanai
,リッチャードソン,,Richardson
,ストレイハン,,Streihan
,ランソン,,Ranson
,ブラウン,,Brown
,ハートマン,,Hartman
,,,
監督,湯浅憲明,Director,Noriaki Yuasa
