製作,勝新太郎,Producer,Shintaro Katsu
,西岡弘善,,Hiroyoshi Nishioka
,,,
原作,子母沢寛,Original Story,Kan Shimozawa
脚本,岡本喜八,Screenplay,Kihachi Okamoto
,吉田哲郎,,Tetsuro Yoshida
,,,
撮影,宮川一夫,Photography,Kazuo Miyagawa
録音,林土太郎,Sound,Tsuchitaro Hayashi
照明,中岡源権,Lighting,Genji Nakaoka
美術,西岡善信,Art,Yoshinobu Nishioka
音楽,伊福部昭,Music,Akira Ifukube
,,,
編集,谷口登司夫,Editor,Toshio Taniguchi
音響効果,倉嶋暢,Sound Effects,Manabu Kurashima
擬斗,湯浅謙太郎,Action,Kentaro Yuasa
助監督,中西忠三,Assistant Director,Chuzo Nakanishi
製作主任,眞田正典,Production Manager,Masanori Sanada
現像,東洋現像所,Developing,Toyo Laboratory
,,,
出演者,,Performers,
,,,
,勝新太郎,,Shintaro Katsu
,,,
,若尾文子,,Ayako Wakao
,,,
,滝沢修,,Osamu Takizawa
,,,
,米倉斉加年,,Masakane Yonekura
,岸田森,,Shin Kishida
,嵐寛寿郎,,Kanjuro Arashi
,,,
,神山繁,,Shigeru Koyama
,細川俊之,,Toshiyuki Hosokawa
,寺田農,,Minori Terada
,砂塚秀夫,,Hideo Sunazuka
,草野大悟,,Daigo Kusano
,,,
,常田富士男,,Fujio Tokita
,木村元,,Gen Kimura
,田中浩,,Hiroshi Tanaka
,木村博人,,Hiromi Kimura
,五味龍太郎,,Ryutaro Gomi
,,,
,浜田雄史,,Hideo Hamada
,越川一,,Ichi Koshikawa
,黒木現,,Gen Kuroki
,新関順司郎,,Shinjiro Shinsho
,熱田洋子,,Yoko Atsuta
,巣山プロ剣睦会,,Suyama Pro Fencing Society
,,,
,三船敏郎,,Toshiro Mifune
,,,
監督,岡本喜八（東宝）,Director,Kihachi Okamoto (Toho)
