製作,田中友幸,Producer,Tomoyuki Tanaka
,田中文雄,,Fumio Tanaka
,,,
脚本,小川英,Screenplay,Ei Ogawa
,長野洋,,Hiroshi Nagano
,,,
撮影,原一民,Photography,Kazumi Hara
美術,本多好文,Art,Yoshifumi Honda
録音,富田実,Sound,Minoru Tomita
照明,佐藤幸次郎,Lighting,Kojiro Sato
音楽,真鍋理一郎,Music,Riichiro Manabe
整音,東宝ダビング,Dubbing,Toho Dubbing
,,,
監督助手,渡辺邦彦,Assistant Director,Kunihiko Watanabe
編集,岩下広一,Editor,Koichi Iwashita
合成,三瓶一信,Synthesis,Kazunobu Sanpei
擬闘,宇仁貫三,Fighting Choreography,Kenzo Iehito
現像,東京現像所,Developing,Tokyo Laboratory
製作担当者,鈴木政雄,Production Manager,Masao Suzuki
,,,
出演者,,Performers,
,,,
,松尾嘉代,,Kayo Matsuo
,中尾彬,,Akira Nakao
,,,
,小林夕岐子,,Yukiko Kobayashi
,南風洋子,,Yoko Minakaze
,中村敦夫,,Atsuo Nakamura
,,,
,高品格,,Kaku Takashima
,浜村純,,Shin Hamamura
,関口銀三,,Kenzo Sekiguchi
,堺左千夫,,Sachio Sakai
,二見忠男,,Tadao Futami
,宇佐美淳也,,Jun Usami
,,,
監督,山本迪夫,Director,Michio Yamamoto
