製作,藤本真澄,Producer,Sanezumi Fujimoto
,田中友幸,,Tomoyuki Tanaka
,,,
脚本,八住利雄,Screenplay,Toshio Yasumi
,菊島隆三,,Ryuzo Kikushima
,,,
美術監督,伊藤熹朔,Art Director,Kisaku Ito
撮影,山田一夫,Photography,Kazuo Yamada
音楽,伊福部昭,Music,Akira Ifukube
,,,
美術,植田寛,Art,Hiroshi Ueda
録音,西川善男,Sound,Yoshio Nishikawa
,下永尚,,Hisashi Shimonaga
照明,小島正七,Lighting,Shoshichi Kojima
,,,
監督助手,丸輝夫,Assistant Director,Teruo Maru
編集,平一二,Editor,Kazuji Taira
現像,東京現像所,Developing,Tokyo Laboratory
製作担当者,川上勝太郎,Production Manager,Katsutaro Kawakami
,,,
特殊技術,,Special Effects,
光学撮影,荒木秀三郎,Optical Photography,Shozaburo Araki
撮影,有川貞昌,Photography,Sadamasa Arikawa
美術,渡辺明,Art,Akira Watanabe
照明,岸田九一郎,Lighting,Kuichiro Kishida
作画合成,向山宏,Compositing,Hiroshi Mukoyama
,,,
出演者,,Performers,
,,,
,三船敏郎,,Toshiro Mifune
,,,
,司葉子,,Yoko Tsukasa
,水野久美,,Kumi Mizuno
,上原美佐,,Misa Uehara
,香川京子,,Kyoko Kagawa
,,,
,田中絹代,,Kinuyo Tanaka
,乙羽信子,,Nobuko Otowa
,杉村春子,,Haruko Sugimura
,久保明,,Akira Kubo
,宝田明,,Akira Takarada
,,,
,中村鴈治郎（大映）,,Ganjiro Nakamura (Daiei)
,東野英治郎,,Eijiro Tono
,平田昭彦,,Akihiko Hirata
,三島耕,,Ko Mishima
,伊藤久哉,,Hisaya Ito
,田崎潤,,Jun Tazaki
,志村喬,,Takashi Shimura
,,,
,上田吉二郎,,Kichijiro Ueda
,小杉義男,,Yoshio Kosugi
,野村浩三,,Kozo Nomura
,藤木悠,,Yu Fujiki
,環三千世,,Michiyo Kan
,村松恵子,,Keiko Muramatsu
,村田嘉久子,,Kakuko Murata
,中北千枝子,,Chieko Nakakita
,,,
,左卜全,,Bokuzen Hidari
,山田巳之助,,Minosuke Yamada
,瀬良明,,Akira Sera
,伊豆肇,,Hajime Izu
,田島義文,,Yoshibumi Tajima
,村上冬樹,,Fuyuki Murakami
,谷晃,,Akira Tani
,向井淳一郎,,Junichiro Mukai
,沢村いき雄,,Ikio Sawamura
,,,
,大村千吉,,Senkichi Omura
,佐田豊,,Yutaka Sada
,久世竜,,Ryu Kuze
,桜井巨郎,,Giro Sakurai
,津田光男,,Mitsuo Tsuda
,桐野洋雄,,Nadao Kirino
,大友伸,,Shin Otomo
,手塚勝巳,,Katsumi Tezuka
,長島正芳,,Masayoshi Nagashima
,広瀬正一,,Shoichi Hirose
,土屋詩朗,,Shiro Tsuchiya
,松尾文人,,Fuminto Matsuo
,,,
,堤康久,,Yasuhisa Tsutsumi
,増田正雄,,Masuo Masuda
,熊谷二良,,Jiro Kumagai
,岡部正,,Tadashi Okabe
,上村幸之,,Yoshiyuki Uemura
,重信安宏,,Yasuhiro Shigenobu
,坂本晴哉,,Haruya Sakamoto
,緒方燐作,,Rinsaku Ogata
,秋元泉,,Izumi Akimoto
,山口博義,,Hiroshi Yamaguchi
,北野明,,Akira Kitano
,山田彰,,Akira Yamada
,,,
,脇田博行,,Hiroyuki Wakita
,天本英世,,Hideyo Amamoto
,岩本弘司,,Koji Iwamoto
,家田佳子,,Yoshiko Ieda
,岸田翠,,Midori Kishida
,河美智子,,Michiko Kawa
,飛鳥みさ子,,Misako Asuka
,樋口年子,,Toshiko Higuchi
,三田照子,,Teruko Mita
,上野明美,,Akemi Ueno
振付,猿若清方,Choreography,Kiyoshi Saraga
,,,
,小林桂樹,,Keiju Kobayashi
,加東大介,,Daisuke Kato
,三木のり平,,Norihei Miki
,有島一郎,,Ichiro Arishima
,柳家金語楼,,Kingoro Yanagiya
,榎本健一,,Kenichi Enomoto
,朝汐太郎,,Taro Asahiyo
,,,
,鶴田浩二,,Koji Tsuruta
,原節子,,Setsuko Hara
,,,
特撮監督,円谷英二,Special Effects Director,Eiji Tsuburaya
,,,
監督,稲垣浩,Director,Hiroshi Inagaki
