製作,田中友幸,Producer,Tomoyuki Tanaka
,,,
脚本,関沢新一,Screenplay,Shinichi Sekizawa
,,,
撮影,小泉一,Photography,Hajime Koizumi
美術,北猛夫,Art,Takeo Kita
録音,小沼渡,Sound,Wataru Konuma
照明,小島正七,Lighting,Shoshichi Kojima
音楽,伊福部昭,Music,Akira Ifukube
整音,下永尚,Dubbing,Hisashi Shimonaga
,,,
監督助手,梶田興治,Assistant Director,Koji Kajita
編集,藤井良平,Editor,Ryohei Fujii
音響効果,西本定正,Sound Effects,Sadamasa Nishimoto
合成,向山宏,Synthesis,Hiroshi Mukoyama
現像,東京現像所,Developing,Tokyo Laboratory
製作担当者,鈴木政雄,Production Manager,Masao Suzuki
,小池忠司,,Tadashi Koike
,,,
特殊技術,,Special Effects,
撮影,有川貞昌,Photography,Sadamasa Arikawa
,富岡素敬,,Motoyoshi Tomioka
光学撮影,真野田幸雄,Optical Photography,Yukio Manoda
,飯塚定雄,,Sadao IIzuka
照明,岸田九一郎,Lighting,Kuichiro Kishida
美術,渡辺明,Art,Akira Watanabe
操演,中代文雄,Physical Effects,Fumio Nakashiro
監督助手,中野昭慶,Assistant Director,Teruyoshi Nakano
,,,
出演者,,Performers,
,,,
,宝田明,,Akira Takarada
,ニック・アダムス,,Nick Adams
,,,
,水野久美,,Kumi Mizuno
,沢井桂子,,Keiko Sawai
,田崎潤,,Jun Tazaki
,土屋嘉男,,Yoshio Tsuchiya
,久保明,,Akira Kubo
,,,
,佐々木孝丸,,Takamaru Sasaki
,村上冬樹,,Fuyuki Murakami
,田島義文,,Yoshibumi Tajima
,田武謙三,,Kenzo Tabu
,千石規子,,Noriko Sengoku
,松本染升,,Somesho Matsumoto
,清水元,,Gen Shimizu
,,,
,伊吹徹,,Toru Ibuki
,鈴木和夫,,Kazuo Suzuki
,堤康久,,Yasuhisa Tsutsumi
,桐野洋雄,,Nadao Kirino
,塩沢とき,,Toki Shiozawa
,津田光男,,Mitsuo Tsuda
,熊谷卓三,,Takuzo Kumagai
,宇野晃司,,Koji Uno
,,,
,橘正晃,,Masaaki Tachibana
,岡豊,,Yutaka Oka
,緒方燐作,,Rinsaku Ogata
,岡部正,,Tadashi Okabe
,清水良二,,Ryoji Shimizu
,古河秀樹,,Hideki Furukawa
,坪野鎌之,,Kamayuki Tsubono
,伊藤実,,Minoru Ito
,,,
,中島春雄,,Haruo Nakajima
,篠原正記,,Masaki Shinohara
,広瀬正一,,Shoichi Hirose
グレンの声,納谷悟朗,Voice of Glenn,Goro Naya
,,,
特技監督,円谷英二,Special Effects Director,Eiji Tsuburaya
,,,
監督,本多猪四郎,Director,Ishiro Honda
