製作,猪股尭,Producer,Takashi Inomata
脚本,高久進,Screenplay,Susumu Takaku
,小林久三,,Kyuzo Kobayashi
,,,
撮影,平瀬静雄,Photography,Shizuo Hirase
美術,芳野尹孝,Art,Yunota Yoshino
音楽,菊池俊輔,Music,Shunsuke Kikuchi
,,,
照明,青木辰夫,Lighting,Tatsuo Aomoto
編集,寺田昭光,Editor,Akimitsu Terada
録音,中村寛,Sound,Hiroshi Nakamura
調音,松本隆司,Articulation,Ryuji Matsumoto
,,,
監督助手,白木慶二,Assistant Director,Keiji Shiraki
装置,新映美術工芸,Apparatus,Shinei Arts and Crafts
進行,福山正幸,Progress,Masayuki Fukuyama
現像,東洋現像所,Developing,Toyo Laboratory
,,,
製作主任,内藤誠,Production Manager,Makoto Naito
,渡辺寿男,,Toshio Watanabe
協力,ピー・プロダクション,Cooperation,P. Productions
,小嶋伸介,,Shinsuke Kojima
,岡田元侑,,Yuka Okada
,三上睦男,,Mutsuo Mikami
,,,
出演,,Appearing,
,,,
,吉田輝雄,,Teruo Yoshida
,佐藤友美,,Tomomi Sato
,,,
,高英男,,Hideo Ko
,高橋昌也,,Masaya Takahashi
,金子信雄,,Nobuo Kaneko
,,,
,北村英三,,Eizo Kitamura
,楠侑子,,Yuko Kusunoki
,加藤和夫,,Kazuo Kato
,,,
,西本裕行,,Hiroyuki Nishimoto
,山本紀彦,,Toshihiko Yamamoto
,キャシー・ホーラン,,Kathy Horan
,,,
監督,佐藤肇,Director,Hajime Sato
