企画,久保寺生郎,Planning,Ikuo Kubodera
原作,子母沢寛,Original Story,Kan Shimozawa
脚本,高岩肇,Screenplay,Hajime Takaiwa
,,,
撮影,宮川一夫,Photography,Kazuo Miyagawa
録音,海原幸夫,Sound,Yukio Kaibara
照明,中岡源権,Lighting,Genji Nakaoka
美術,西岡善信,Art,Yoshinobu Nishioka
,,,
音楽,伊福部昭,Music,Akira Ifukube
編集,菅沼完二,Editor,Kanji Suganuma
擬斗,宮内昌平,Action,Shohei Miyauchi
助監督,太田昭和,Assistant Director,Akikazu Ota
製作主任,村井昭彦,Production Manager,Akihiko Murai
現像,東洋現像所,Developing,Toyo Laboratory
,,,
出演者,,Performers,
,,,
,勝新太郎,,Shintaro Katsu
,,,
,天知茂,,Shigeru Amachi
,小川真由美,,Mayumi Ogawa
,佐藤慶,,Kei Sato
,,,
,浜村純,,Shin Hamamura
,吉川満子,,Miko Yoshikawa
,小村雪子,,Yukiko Komura
,東三千,,Michi Azuma
,町田政則,,Masanori Michida
,水原浩一,,Koichi Mizuhara
,,,
,伊達三郎,,Saburo Date
,玉置一恵,,Kazue Tamaki
,堀北幸夫,,Yukio Horikita
,木村玄,,Gen Kimura
,藤川準,,Jun Fujikawa
,石原須磨男,,Sumao Ishihara
,西岡弘善,,Hiroyoshi Nishioka
,黒木英男,,Hideo Kuroki
,薮内武司,,Takeshi Yabuchi
,谷口和子,,Kazuko Taniguchi
,,,
監督,田中徳三,Director,Tokuzo Tanaka
