企画,久保寺生郎,Planning,Ikuo Kubodera
原作,子母沢寛,Original Story,Kan Shimozawa
脚本,笠原良三,Screenplay,Ryozo Kasahara
,,,
撮影,武田千吉郎,Photography,Senkichiro Takeda
録音,大角正夫,Sound,Masao Osumi
照明,古谷賢次,Lighting,Kenji Furuya
美術,西岡善信,Art,Yoshinobu Nishioka
,,,
音楽,斎藤一郎,Music,Ichiro Saito
編集,谷口登司夫,Editor,Toshio Taniguchi
擬斗,宮内昌平,Action,Shohei Miyauchi
助監督,宮嶋八蔵,Assistant Director,Yoshizo Miyajima
製作主任,西沢鋭治,Production Manager,Eiji Nishizawa
現像,東洋現像所,Developing,Toyo Laboratory
,,,
出演者,,Performers,
,,,
,勝新太郎,,Shintaro Katsu
,,,
,藤村志保,,Shiho Fujimura
,青山良彦,,Yoshihiko Aoyama
,水前寺清子（クラウン）,,Kiyoko Suizenji (Crown)
,藤田まこと,,Makoto Fujita
,,,
,東野英治郎,,Eijiro Tono
,山下洵一郎,,Junichiro Yamashita
,五味龍太郎,,Ryutaro Gomi
,須賀不二男,,Fujio Suga
,明星雅子,,Masako Akeboshi
,春川ますみ,,Masumi Harukawa
,,,
,遠藤辰雄,,Tatsuo Endo
,水原浩一,,Koichi Mizuhara
,伊達三郎,,Saburo Date
,高杉玄,,Gen Takasugi
,尾上栄五郎,,Eigoro Onoe
,寺島雄作,,Yusaku Terashima
,木村玄,,Gen Kimura
,北竜二,,Ryuji Kita
,,,
,堀北幸夫,,Yukio Horikita
,玉置一恵,,Kazue Tamaki
,春日清,,Kiyoshi Kasuga
,岩田正,,Tadashi Iwata
,勝村淳,,Jun Katsumura
,薮内武司,,Takeshi Yabuchi
,森下昌子,,Masao Morishita
,谷口和子,,Kazuko Taniguchi
,橘公子,,Kimiko Tachibana
,,,
,大杉潤,,Jun Osugi
,布目真爾,,Masa Tsuyoshi
,松田剛武,,Takeshi Matsuda
,暁新二郎,,Shinjiro Akira
,加賀美健一,,Kenichi Kagami
,三藤愛子,,Aiko Mito
,大谷鷹子,,Takako Otani
,久本延子,,Kumiko Kumoto
,大杉育美,,Ikumi Osugi
,,,
監督,安田公義,Director,Kimiyoshi Yasuda
