製作,田中友幸,Producer,Tomoyuki Tanaka
,,,
原作,海上日出男,Original Story,Hideo Unagami
脚本,木村武,Screenplay,Takeshi Kimura
,,,
撮影,小泉一,Photography,Hajime Koizumi
美術,北猛夫,Art,Takeo Kita
録音,三上長七郎,Sound,Choshichiro Mikami
,宮崎正信,,Masanobu Miyazaki
照明,西川鶴三,Lighting,Tsuruzo Nishikawaw
音楽,佐藤勝,Music,Masaru Sato
,,,
特殊技術,,Special Effects,
撮影,荒木秀三郎,Photography,Shozaburo Araki
,有川貞昌,,Sadamasa Arikawa
美術,渡辺明,Art,Akira Watanabe
照明,城田正雄,Lighting,Masao Shirota
合成,向山宏,Synthesis,Hiroshi Mukoyama
,,,
監督助手,梶田興治,Assistant Director,Koji Kajita
編集,平一二,Editor,Kazuji Taira
現像,東洋現像所,Developing,Toyo Laboratory
製作担当者,眞木照夫,Production Manager,Teruo Maki
,,,
出演者,,Performers,
,,,
,白川由美,,Yumi Shirakawa
,佐原健二,,Kenji Sahara
,,,
,平田昭彦,,Akihiko Hirata
,小沢栄太郎,,Eitaro Ozawa
,千田是也,,Koreya Senda
,佐藤允,,Makoto Sato
,,,
,伊藤久哉,,Hisaya Ito
,北川町子,,Michiko Kitagawa
,土屋嘉男,,Yoshio Tsuchiya
,白石奈緒美,,Naomi Shiraishi
,三島耕,,Ko Mishima
,,,
,田島義文,,Yoshibumi Tajima
,中村哲,,Tetsu Nakamura
,加藤春哉,,Haruya Kato
,大村千吉,,Senkichi Omura
,園田あゆみ,,Ayumi Sonoda
,林幹,,Kan Hayashi
,山田巳之助,,Minosuke Yamada
,藤尾純,,Jun Fujio
,,,
,山本廉,,Ren Yamamoto
,瀬良明,,Akira Sera
,中丸忠雄,,Tadao Nakamura
,夏木陽介,,Yosuke Natsuki
,家田佳子,,Yoshiko Ieda
,重信安広,,Yasuhiro Shigenobu
,山田彰,,Akira Yamada
,桐野洋雄,,Nadao Kirino
,佐田豊,,Yutaka Sada
,大友伸,,Shin Otomo
,,,
,生方壮児,,Soji Ubukata
,津田光男,,Mitsuo Tsuda
,中山豊,,Yutaka Nakayama
,坪野鎌之,,Kamayuki Tsubono
,加藤茂雄,,Shigeo Kato
,岡豊,,Yutaka Oka
,広瀬正一,,Shoichi Hirose
,熊谷二良,,Jiro Kumagai
,草間璋夫,,Akio Kusama
,土屋詩朗,,Shiro Tsuchiya
,手塚勝巳,,Katsumi Tezuka
,中島春雄,,Haruo Nakajima
,,,
特撮監督,円谷英二,Special Effects Director,Eiji Tsuburaya
,,,
監督,本多猪四郎,Director,Ishiro Honda
