製作,永田雅一,Producer,Masaichi Nagata
,,,
企画,斉藤米二郎,Planning,Yonejiro Saito
脚本,高橋二三,Screenplay,Nisan Takahashi
,,,
撮影,高橋通夫,Photography,Michio Takahashi
録音,奥村幸雄,Sound,Yukio Okumura
照明,柴田恒吉,Lighting,Tsunekichi Shibata
美術,柴田篤二,Art,Tokuji Shibata
,,,
音楽,木下忠司,Music,Chuji Kinoshita
編集,中静達治,Editor,Tatsuji Nakashizuka
助監督,瀬川正雄,Assistant Director,Masao Segawa
製作主任,沼田芳造,Production Manager,Yoshizo Numata
現像,東洋現像所,Developing,Toyo Laboratory
,,,
特殊撮影,,Special Photography,
監督,湯浅憲明,Director,Noriaki Yuasa
撮影,藤井和文,Photography,Kazufumi Fujii
美術,山口煕,Art,Hiroshi Yamaguchi
,井上章,,Akira Inoue
,,,
特殊撮影,,Special Photography,
合成,金子友三,Synthesis,Yuzo Kaneko
照明,石坂守,Lighting,Mamoru Ishizaka
操演,恵利川秀雄,Physical Effects,Hideo Erikawa
助監督,阿部志馬,Assistant Director,Shiba Abe
製作主任,川村清,Production Manager,Kiyoshi Kawamura
,,,
監督,田中重雄,Director,Shigeo Tanaka
,,,
出演者,,Performers,
,,,
,本郷功次郎,,Kojiro Hongo
,江波杏子,,Kyoko Enami
,,,
,早川雄三,,Yuzo Hayakawa
,藤岡琢也,,Takuya Fujioka
,藤山浩二,,Koji Fujiyama
,夏木章,,Sho Natsuki
,北原義郎,,Shojiro Kitahara
,菅井一郎,,Ichiro Sugai
,見明凡太郎,,Bontaro Miake
,,,
,北城寿太郎,,Jutaro Hojo
,若松和子,,Kazuko Wakamatsu
,紺野ユカ,,Yuka Konno
,高村栄一,,Eiichi Takamura
,谷謙一,,Kenichi Tani
,伊東光一,,Koichi Ito
,星ひかる,,Hikaru Hoshi
,阿部脩,,Osamu Abe
,小山内淳,,Jun Koyamauchi
,浜口喜博,,Yoshihiro Hamaguchi
,ジョー・オハラ,,Joe Ohara
,中田勉,,Tsutomu Nakata
,森矢雄二,,Yuji Moriya
,川島真二,,Shinji Kawashima
,原田該,,Gen Harada
,森一夫,,Kazuo Mori
,荒木康夫,,Yasuo Araki
,三夏伸,,Shin Minatsu
,後藤武彦,,Takehiko Goto
,加川東一郎,,Toichiro Kagawa
,新宮信子,,Nobuko Shingaki
,西尋子,,Hiroko Nishi
,光実千代,,Michiyo Hikari
,益田隆舞踏団,,Takashi Masuda Dance Team
