製作,田中友幸,Producer,Tomoyuki Tanaka
,,,
脚本,馬淵薫,Screenplay,Kaoru Mabuchi
,,,
撮影,小泉一,Photography,Hajime Koizumi
美術,北猛夫,Art,Takeo Kita
録音,小沼渡,Sound,Wataru Konuma
照明,小島正七,Lighting,Shoshichi Kojima
音楽,伊福部昭,Music,Akira Ifukube
整音,下永尚,Dubbing,Hisashi Shimonaga
,,,
監督助手,梶田興治,Assistant Director,Koji Kajita
編集,藤井良平,Editor,Ryohei Fujii
音響効果,西本定正,Sound Effects,Sadamasa Nishimoto
現像,東京現像所,Developing,Tokyo Laboratory
製作担当者,山田順彦,Production Manager,Yorihiko Yamada
,,,
特殊技術,,Special Effects,
撮影,有川貞昌,Photography,Sadamasa Arikawa
,富岡素敬,,Motoyoshi Tomioka
光学撮影,真野田幸雄,Optical Photography,Yukio Manoda
,徳政義行,,Yoshiyuki Tokumasa
美術,渡辺明,Art,Akira Watanabe
照明,岸田九一郎,Lighting,Kuichiro Kishida
合成,向山宏,Synthesis,Hiroshi Mukoyama
監督助手,中野昭慶,Assistant Director,Teruyoshi Nakano
製作担当者,小池忠司,Production Manager,Tadashi Koike
,,,
出演者,,Performers,
,,,
,高島忠夫,,Tadao Takashima
,ニック・アダムス,,Nick Adams
,,,
,水野久美,,Kumi Mizuno
,土屋嘉男,,Yoshio Tsuchiya
,古畑弘二,,Koji Furuhata
,,,
,田崎潤,,Jun Tazaki
,藤田進,,Susumu Fujita
,志村喬,,Takashi Shimura
,中村伸郎,,Nobuo Nakamura
,,,
,佐原健二,,Kenji Sahara
,伊藤久哉,,Hisaya Ito
,田島義文,,Yoshibumi Tajima
,野村明司,,Akiji Nomura
,加藤春哉,,Haruya Kato
,沢村いき雄,,Ikio Sawamura
,小杉義男,,Yoshio Kosugi
,,,
,井上紀明,,Noriaki Inoue
,沢井桂子,,Keiko Sawai
,高橋紀子,,Noriko Takahashi
,ピーター・マン,,Peter Mann
,山本廉,,Ren Yamamoto
,佐田豊,,Yutaka Sada
,田武謙三,,Kenzo Tabu
,石田茂樹,,Shigeki Ishida
,中島春雄,,Haruo Nakajima
,,,
,中山豊,,Yutaka Nakayama
,大村千吉,,Senkichi Omura
,桐野洋雄,,Nadao Kirino
,西条康彦,,Yasuhiko Saijo
,大友伸,,Shin Otomo
,広瀬正一,,Shoichi Hirose
,向井淳一郎,,Junichiro Mukai
,古田俊彦,,Toshihiko Furuta
,津田光男,,Mitsuo Tsuda
,木村博人,,Hiroto Kimura
,,,
,澁谷英男,,Hideo Shibuya
,宮田芳子,,Yoshiko Miyata
,橘正晃,,Masaaki Tachibana
,岡部正,,Tadashi Okabe
,緒方燐作,,Rinsaku Ogata
,中尾純夫,,Sumio Nakao
,熊倉一雄,,Kazuo Kumakura
,納谷悟朗,,Goro Naya
,,,
特技監督,円谷英二,Special Effects Director,Eiji Tsuburaya 
,,,
監督,本多猪四郎,Director,Ishiro Honda
