製作,田中友幸,Producer,Tomoyuki Tanaka
,菊島隆三,,Ryuzo Kikushima
,,,
,山本周五郎作 『日々平安』より,,"From Shugoro Yamamoto’s work “Everyday Peace"""
脚本,菊島隆三,Screenplay,Ryuzo Kikushima
,小国英雄,,Hideo Oguni
,黒澤明,,Akira Kurosawa
,,,
撮影,小泉福造,Photography,Fukuzo Koizumi
,斎藤孝雄,,Takao Saito
美術,村木与四郎,Art,Yoshiro Muraki
録音,小沼渡,Sound,Wataru Konuma
照明,猪原一郎,Lighting,Ichiro Inohara
音楽,佐藤勝,Music,Masaru Sato
整音,下永尚,Dubbing,Hisashi Shimonaga
,,,
監督助手,森谷司郎,Assistant Director,Shiro Moritani
現像,キヌタ・ラボラトリー,Developing,Kinuta Laboratory
製作担当者,根津博,Production Manager,Hiroshi Nezu
,,,
出演者,,Performers,
,,,
,三船敏郎,,Toshiro Mifune
,,,
,仲代達矢,,Tatsuya Nakadai
,小林桂樹,,Keiju Kobayashi
,,,
,加山雄三,,Yuzo Kayama
,団令子,,Reiko Dan
,,,
,志村喬,,Takashi Shimura
,藤原釜足,,Kamatari Fujiwara
,入江たか子,,Takako Irie
,清水将夫,,Masao Shimizu
,伊藤雄之助,,Yunosuke Ito
,,,
,久保明,,Akira Kubo
,太刀川寛,,Hiroshi Tachikawa
,土屋嘉男,,Yoshio Tsuchiya
,田中邦衛,,Kunie Tanaka
,江原達怡,,Tatsuyoshi Ehara
,平田昭彦,,Akihiko Hirata
,,,
,小川虎之助,,Toranosuke Ogawa
,堺左千夫,,Sachio Sakai
,松井鍵三,,Kenzo Matsui
,樋口年子,,Toshiko Higuchi
,波里達彦,,Teruhiko Hari
,佐田豊,,Yutaka Sada
,清水元,,Gen Shimizu
,,,
,大友伸,,Shin Otomo
,広瀬正一,,Shoichi Hirose
,伊藤実,,Minoru Ito
,宇留耕司,,Koji Ujito
,山口博義,,Hiroshi Yamaguchi
,大橋史典,,Fuminori Ohashi
剣技指導,久世竜,Sword Instruction,Ryu Kuze
,,,
監督,黒澤明,Director,Akira Kurosawa
