製作,勝新太郎,Producer,Shintaro Katsu
,西岡弘善,,Hiroyoshi Nishioka
,,,
企画,久保寺生郎,Planning,Ikuo Kubodera
原作,子母沢寛,Original Story,Kan Shimozawa
脚本,直居欽哉,Screenplay,Kinya Naoi
,,,
撮影,森田富士郎,Photography,Fujio Morita
録音,大谷巌,Sound,Iwao Otani
照明,中岡源権,Lighting,Genji Nakaoka
美術,太田誠一,Art,Seiichi Ota
音楽,村井邦彦,Music,Kunihiko Murai
,,,
編集,谷口登司夫,Editor,Toshio Taniguchi
音響効果,倉嶋暢,Sound Effects,Manabu Kurashima
擬斗,楠本栄一,Action,Eiichi Kusumoto
助監督,南野梅雄,Assistant Director,Umeo Minamino
記録,山本礼子,Archiving,Reiko Yamamoto
製作主任,足立源一郎,Production Manager,Genichiro Adachi
現像,東洋現像所,Developing,Toyo Laboratory
,,,
囗演,王川勝太郎,Performance,Katsutaro Okawa
,,,
出演者,,Performers,
,,,
,勝新太郎,,Shintaro Katsu
,,,
,森繁久彌,,Hisaya Morishige
,,,
,高橋悦史,,Etsushi Takahashi
,大谷直子,,Naoko Otani
,,,
,笑福亭仁鶴,,Nikaku Shofukutei
,田辺一鶴,,Ikkaku Tanabe
,正司敏江・玲児,,Toshie & Reiko Shoji
,,,
,酒井修,,Osamu Sakai
,石橋蓮司,,Renji Ishibashi
,蟹江敬三,,Keizo Kanie
,しめぎしがこ,,Shigako Shimegi
,新條久多美,,Kutami Shinjo
,,,
,岡本健（子役）,,Ken Okamoto (Child)
,明石勤,,Tsutomu Akashi
,大川修,,Osamu Okawa
,秋山勝俊,,Katsutoshi Akiyama
,南條新太郎,,Shintaro Nanjo
,深江章喜,,Shoki Fukae
,,,
,里見潤,,Jun Satomi
,大野恵三子,,Emiko Ono
,近江輝子,,Teruko Omi
,芝田總二,,Soji Shibata
,大杉潤,,Jun Osugi
,森内一夫,,Kazuo Moriuchi
,勝村淳,,Jun Katsumura
,,,
,三国連太郎,,Rentaro Mikuni
,,,
監督,森一生,Director,Kazuo Mori
