製作,田中友幸,Producer,Tomoyuki Tanaka
,角田健一郎,,Kenichiro Tsunoda
,,,
脚本,馬淵薫,Screenplay,Kaoru Mabuchi
,本多猪四郎,,Ishiro Honda
,,,
撮影,小泉一,Photography,Hajime Koizumi
美術,北猛夫,Art,Takeo Kita
録音,刀根紀雄,Sound,Norio Tone
照明,高島利雄,Lighting,Toshio Takashima
音楽,伊福部昭,Music,Akira Ifukube
整音,下永尚,Dubbing,Hisashi Shimonaga
,,,
監督助手,梶田興治,Assistant Director,Koji Kajita
編集,藤井良平,Editor,Ryohei Fujii
音響効果,西本定正,Sound Effects,Sadamasa Nishimoto
現像,東京現像所,Developing,Tokyo Laboratory
製作担当者,古賀祥一,Production Manager,Shoichi Koga
,,,
特殊技術,,Special Effects,
撮影,有川貞昌,Photography,Sadamasa Arikawa
,富岡素敬,,Motoyoshi Tomioka
光学撮影,徳政義行,Optical Photography,Yoshiyuki Tokumasa
美術,井上泰幸,Art,Yasuyuki Inoue
照明,岸田九一郎,Lighting,Kuichiro Kishida
合成,向山宏,Synthesis,Hiroshi Mukoyama
操演,中代文雄,Physical Effects,Fumio Nakashiro
監督助手,中野昭慶,Assistant Director,Teruyoshi Nakano
製作担当者,坂本泰明,Production Manager,Yasuaki Sakamoto
,,,
出演者,,Performers,
,,,
,佐原健二,,Kenji Sahara
,水野久美,,Kumi Mizuno
,ラス・タンブリン,,Russ Tamblyn
,,,
,田崎潤,,Jun Tazaki
,キップ・ハミルトン,,Kipp Hamilton
,田島義文,,Yoshibumi Tajima
,中村伸郎,,Nobuo Nakamura
,,,
,伊藤久哉,,Hisaya Ito
,桐野洋雄,,Nadao Kirino
,堤康久,,Yasuhisa Tsutsumi
,ヘンリー・大川,,Henry Okawa
,広瀬正一,,Shoichi Hirose
,野村明司,,Akiji Nomura
,沢村いき雄,,Ikio Sawamura
,山本廉,,Ren Yamamoto
,,,
,井上紀明,,Noriaki Inoue
,西条康彦,,Yasuhiko Saijo
,小宮康弘,,Yasuhiro Komiya
,坂本晴哉,,Haruya Sakamoto
,津田光男,,Mitsuo Tsuda
,大前亘,,Wataru Omae
,森今日子,,Kyoko Mari
,南弘子,,Hiroko Minami
,,,
,岡部正,,Tadashi Okabe
,勝部義夫,,Yoshio Katsube
,伊藤実,,Minoru Ito
,土屋詩朗,,Shiro Tsuchiya
,熊谷卓三,,Takuzo Kumagai
,伊原徳,,Toku Ihara
,鹿島邦義,,Kuroyoshi Kashima
,橘正晃,,Masaaki Tachibana
,渋谷英男,,Hideo Shibuya
,岡豊,,Yutaka Oka
,,,
,中島春雄,,Haruo Nakajima
,関田裕,,Hiroshi Sekita
（ラス・タンブリンの声）,睦五郎,(Voice of Russ Tamblyn),Goro Mutsumi
（サンダの子供の声）,木下華声,(Voice of Baby Sanda),Kasei Kinoshita
,,,
特技監督,円谷英二,Special Effects Director,Eiji Tsuburaya 
,,,
監督,本多猪四郎,Director,Ishiro Honda
