製作,田中友幸,Producer,Tomoyuki Tanaka
,,,
脚本,関沢新一,Screenplay,Shinichi Sekizawa
,,,
撮影,山田一夫,Photography,Kazuo Yamada
美術,浜上兵衛,Art,Kyoe Hamagami
録音,西川善男,Sound,Yoshio Nishikawa
,宮崎正信,,Masanobu Miyazaki
照明,西川鶴三,Lighting,Tsuruzo Nishikawa
音楽,池野成,Music,Sei Ikeno
,,,
特殊技術,,Special Effects,
光学撮影,荒木秀三郎,Optical Photography,Shozaburo Araki
撮影,有川貞昌,Photography,Sadamasa Arikawa
美術,渡辺明,Art,Akira Watanabe
照明,岸田九一郎,Lighting,Kuichiro Kishida
作画合成,向山宏,Compositing,Hiroshi Mukoyama
,,,
監督助手,長野卓,Assistant Director,Takashi Nagano
編集,平一二,Editor,Kazuji Taira
現像,東洋現像所,Deveoping,Toyo Laboratory
製作担当者,森本朴,Production Manager,Paku Morimoto
,,,
出演者,,Performers,
,,,
,鶴田浩二,,Koji Tsuruta
,白川由美,,Yumi Shirakawa
,,,
,河津清三郎,,Seizaburo Kawazu
,土屋嘉男,,Yoshio Tsuchiya
,中丸忠雄,,Tadao Nakamaru
,平田昭彦,,Akihiko Hirata
,,,
,佐々木孝丸,,Takamaru Sasaki
,田島義文,,Yoshibumi Tajima
,村上冬樹,,Fuyuki Murakami
,沢村いき雄,,Ikio Sawamura
,堺左千夫,,Sachio Sakai
,,,
,大友伸,,Shin Otomo
,山本廉,,Ren Yamamoto
,松尾文人,,Fuminto Matsuo
,水の也清美,,Kiyomi Mizunoya
,馬野都畄子,,Tsuruko Mano
,大村千吉,,Senkichi Omura
,佐田豊,,Yutaka Sada
,瀬良明,,Akira Sera
,,,
,天本英世,,Hideyo Amamoto
,広瀬正一,,Shoichi Hirose
,桐野洋雄,,Nadao Kirino
,土屋詩朗,,Shiro Tsuchiya
,熊谷二良,,Jiro Kumagai
,岩本弘司,,Koji Iwamoto
,岡部正,,Tadashi Okabe
,中山豊,,Yutaka Nakayama
,宇野晃司,,Koji Uno
,松村達雄,,Tatsuo Matsumura
,堤康久,,Yasuhisa Tsutsumi
,桜井巨郎,,Giro Sakurai
,,,
,小西瑠美,,Rumi Konishi
,北野明,,Akira Kitano
,三浦敏男,,Toshio Miura
,西條康彦,,Yasuhiko Saijo
,上野明美,,Akemi Ueno
,樋口年子,,Toshiko Higuchi
,重信安宏,,Yasuhiro Shigenobu
,土屋靖雄,,Yasuo Tsuchiya
,向井淳一郎,,Junichiro Mukai
,松本光男,,Mitsuo Matsumoto
,澁谷英男,,Hideo Shibuya
,上村幸之,,Yoshiyuki Uemura
,,,
特技監督,円谷英二,Special Effects Director,Eiji Tsuburaya 
,,,
監督,福田純,Director,Jun Fukuda
