製作,田中友幸,Producer,Tomoyuki Tanaka
,,,
脚本,関沢新一,Screenplay,Shinichi Sekizawa
,,,
撮影,長谷川清,Photography,Kiyoshi Hasegawa
美術,本多好文,Art,Yoshifumi Honda
録音,矢野口文雄,Sound,Fumio Yanoguchi
照明,佐藤幸次郎,Lighting,Kojiro Sato
,,,
音楽,伊福部昭,Music,Akira Ifukube
整音,東宝録音センター,Dubbing,Toho Sound Center
効果,東宝効果集団,Effects,Toho Effects Group
主題歌,東宝レコード,Theme Song,Toho Records
「ゴジラマーチ」,,"""Godzilla March""",
作詞,関沢新一,Lyrics,Shinichi Sekizawa
,福田純,,Jun Fukuda
作曲,宮内国郎,Composition,Kunio Miyauchi
唄,石川進,Performer,Susumu Ishikawa
「ゆけ！ ゆけ！ ゴジラ」,,"""Go! Go! Godzilla""",
作詞,関沢新一,Lyrics,Shinichi Sekizawa
作曲,萩原哲晶,Composition,Hiroaki Hagiwara
唄,石川進,Performer,Susumu Ishikawa
,,,
特殊技術,中野昭慶,Special Effects,Teruyoshi Nakano
撮影,富岡素敬,Photography,Motoyoshi Tomioka
美術,青木利郎,Art,Toshiro Aoki
操演,中代文雄,Physical Effects,Fumio Nakashiro
光学撮影,徳政義行,Optical Photography,Yoshiyuki Tokumasa
合成,土井三郎,Synthesis,Saburo Doi
,,,
監督助手,岡田文亮,Assistant Director,Fumiaki Okada
編集,田村嘉男,Editor,Yoshio Tamura
現像,東京現像所,Developing,Tokyo Laboratory
製作担当者,森知貴秀,Production Manager,Takahide Morichi
,,,
出演者,,Performers,
,,,
,石川博,,Hiroshi Ishikawa
,梅田智子,,Tomoko Umeda
,菱見百合子,,Yuriko Hishimi
,,,
,高島稔,,Minoru Takashima
,藤田漸,,Tadashi Fujita
,西沢利明,,Toshiaki Nishizawa
,村井国夫,,Kunio Murai
,,,
,清水元,,Gen Shimizu
,葦原邦子,,Kuniko Ashihara
,中村是好,,Zeko Nakamura
,武藤章生,,Shosei Muto
,草川直也,,Naoya Kusakawa
,大前亘,,Wataru Omae
,,,
,木村博人,,Hiromi Kimura
,渡辺貞男,,Sadao Watanabe
,西川明,,Akira Nishikawa
,斉藤宣丈,,Takeshi Saito
,中島春雄,,Haruo Nakajima
,大宮幸悦,,Koetsu Omiya
,伊奈貫太,,Kanta Ina
,中山剣吾,,Kengo Nakayama
,,,
監督,福田純,Director,Jun Fukuda
