製作,田中友幸,Producer,Tomoyuki Tanaka
,,,
脚本,関沢新一,Screenplay,Shinichi Sekizawa
,,,
撮影,小泉一,Photography,Hajime Koizumi
美術,北猛夫,Art,Takeo Kita
録音,矢野口文雄,Sound,Fumio Yanoguchi
照明,小島正七,Lighting,Shoshichi Kojima
,,,
音楽,伊福部昭,Music,Akira Ifukube
挿入歌,『幸せを呼ぼう』,Insert Song,“Call Happiness”
作詞,岩谷時子,Lyrics,Tokiko Iwatani
作曲,宮川泰,Composition,Yasushi Miyagawa
整音,下永尚,Dubbing,Hisashi Shimonaga
,,,
監督助手,佐野健,Assistant Director,Takeshi Sano
編集,藤井良平,Editor,Ryohei Fujii
音響効果,知久長,Sound Effects,Cho Chiku
現像,東京現像所,Developing,Tokyo Laboratory
製作担当者,中村茂,Production Manager,Shigeru Nakamura
,,,
特殊技術,,Special Effects,
撮影,有川貞昌,Photography,Sadamasa Arikawa
,富岡素敬,,Motoyoshi Tomioka
光学撮影,真野田幸雄,Optical Photography,Yukio Manoda
,徳政義行,,Yoshiyuki Tokumasa
美術,渡辺明,Art,Akira Watanabe
照明,岸田九一郎,Lighting,Kuichiro Kishida
合成,向山宏,Synthesis,Hiroshi Mukoyama
監督助手,中野昭慶,Assistant Director,Teruyoshi Nakano
製作担当者,小池忠司,Production Manager,Tadashi Koike
,,,
出演者,,Performers,
,,,
,夏木陽介,,Yosuke Natsuki
,星由里子,,Yuriko Hoshi
,,,
,小泉博,,Hiroshi Koizumi
,志村喬,,Takashi Shimura
ザ・ピーナッツ,伊藤エミ,The Peanuts,Emi Ito
,伊藤ユミ,,Yumi Ito
,若林映子,,Akiko Wakabayashi
,,,
,伊藤久哉,,Hisaya Ito
,黒部進,,Susumu Kurobe
,平田昭彦,,Akihiko Hirata
,佐原健二,,Kenji Sahara
,伊吹徹,,Toru Ibuki
,野村浩三,,Kozo Nomura
,,,
,田島義文,,Yoshibumi Tajima
,天本英世,,Hideyo Amamoto
,小杉義男,,Yoshio Kosugi
,高田稔,,Minoru Takada
,英百合子,,Yuriko Hanabusa
,加藤春哉,,Haruya Kato
,沢村いき雄,,Ikio Sawamura
,富田仲次郎,,Nakajiro Tomita
,,,
,石田茂樹,,Shigeki Ishida
,大友伸,,Shin Otomo
,中山豊,,Yutaka Nakayama
,大村千吉,,Senkichi Omura
,松本染升,,Somesho Matsumoto
,鈴木和夫,,Kazuo Suzuki
,青空千夜,,Senya Aozora
,青空一夜,,Ichiya Aozora
,広瀬正一,,Shoichi Hirose
,ヘンリー・大川,,Henry Okawa
,,,
,向井淳一郎,,Junichiro Mukai
,古田俊彦,,Toshihiko Furuta
,池田生二,,Seiji Ikeda
,澁谷英男,,Hideo Shibuya
,勝本圭一郎,,Keiichiro Katsumoto
,手塚勝巳,,Katsumi Tezuka
,宇野晃司,,Koji Uno
,井上大助,,Daisuke Inoue
,三浦敏男,,Toshio Miura
,浦山珠実,,Shimomi Urayama
,熊谷卓三,,Takuzo Kumagai
,津田光男,,Mitsuo Tsuda
,,,
,勝部義夫,,Yoshio Katsube
,坪野鎌之,,Kamayuki Tsubono
,今井和雄,,Kazuo Imai
,門脇三郎,,Saburo Kadowaki
,越後憲三,,Kenzo Echigo
,伊原徳,,Toku Ihara
,古谷敏,,Bin Furuya
,黒木順,,Jun Kuroki
,岡豊,,Yutaka Oka
,中島春雄,,Haruo Nakajima
,宇畄木耕嗣,,Koji Uruki
,坂本晴哉,,Haruya Sakamoto
,,,
特技監督,円谷英二,Special Effects Director,Eiji Tsuburaya
,,,
監督,本多猪四郎,Director,Ishiro Honda
