製作,勝新太郎,Producer,Shintaro Katsu
,西岡弘善,,Hiroyoshi Nishioka
,,,
企画,久保寺生郎,Planning,Ikuo Kubodera
原作,子母沢寛,Original Story,Kan Shimozawa
脚本,犬塚稔,Screenplay,Minoru Inuzuka
,,,
撮影,森田富士郎,Photography,Fujio Morita
録音,大角正夫,Sound,Masao Osumi
照明,中岡源権,Lighting,Genji Nakaoka
美術,太田誠一,Art,Seiichi Ota
音楽,村井邦彦,Music,Kunihiko Murai
,宮本光雄,,Mitsuo Miyamoto
,,,
編集,谷口登司夫,Editor,Toshio Taniguchi
擬斗,勝村淳,Action,Jun Katsumura
音響効果,倉嶋暢,Sound Effects,Manabu Kurashima
助監督,奥家猛,Assistant Director,Takeshi Okuya
製作主任,足立源一郎,Production Manager,Genichiro Adachi
記録,山本礼子,Archiving,Reiko Yamamoto
現像,東洋現像所,Developing,Toyo Laboratory
,,,
出演者,,Performers,
,,,
,勝新太郎,,Shintaro Katsu
,,,
,太地喜和子,,Kiwako Taichi
,吉沢京子,,Kyoko Yoshizawa
,,,
,高城丈二,,Joji Takagi
,小池朝雄,,Asao Koike
,,,
,春川ますみ,,Masumi Harukawa
,伏見直江,,Naoe Fushimi
,青山良彦,,Yoshiko Aoyama
,大滝秀治,,Hideji Otaki
,,,
,藤岡重慶,,Jukei Fujioka
,小海秦寛（子役）,,Yoshihiro Koumi (Child)
,松山照夫,,Teruo Matsuyama
,田島和子,,Kazuko Tajima
,古川ロック,,Rokku Furukawa
,,,
,浜田雄史,,Hideo Hamada
,森章二,,Shoji Mori
,勝村淳,,Jun Katsumura
,北野柘也,,Yukuya Kitano
,沖時男,,Tokio Oki
,真山達,,Tatsu Mayama
,,,
,薮内武司,,Takeshi Yabuchi
,新関順司郎,,Shinjiro Shinsho
,福井隆次,,Ryuji Fukui
,藤春保,,Kei Fujiharu
,伴勇太郎,,Yutaro Ban
,長岡三郎,,Saburo Nagaoka
,,,
,花岡秀樹,,Hideki Hanaoka
,森内一夫,,Kazuo Moriuchi
,松岡信江,,Nobue Matsuoka
,石井貴美子,,Kimiko Ishii
,三星東美,,Tomi Mitsuboshi
,山村嵯都子,,Sachiko Yamamura
,佐々木清乃,,Kiyono Sasaki
,,,
,中村賀津雄,,Katsuo Nakamura
,,,
監督,勝新太郎,Director,Shintaro Katsu
