企画,久保寺生郎,Planning,Ikuo Kubodera
原作,子母沢寛,Original Story,Kan Shimozawa
脚本,犬塚稔,Screenplay,Minoru Inuzuka
,,,
撮影,本多省三,Photography,Shozo Honda
録音,林土太郎,Sound,Tsuchitaro Hayashi
照明,伊藤貞一,Lighting,Teiichi Ito
美術,太田誠一,Art,Seiichi Ota
音楽,斎藤一郎,Music,Ichiro Saito
,,,
編集,谷口孝司,Editor,Takashi Taniguchi
装置,城修,Apparatus,Osamu Jo
擬斗,宮内昌平,Action,Shohei Miyauchi
助監督,井上昭,Assistant Director,Akira Inoue
音響効果,倉嶋暢,Sound Effects,Manabu Kurashima
製作主任,大菅実,Production Manager,Minoru Osuga
,,,
出演者,,Performers,
,,,
,勝新太郎,,Shintaro Katsu
,城健三朗,,Kenzaburo Jo
,,,
,水谷良重,,Yoshie Mizutani
,万里昌代,,Masayo Banri
,中村豊,,Yutaka Nakamura
,柳永二郎,,Eijiro Yanagi
,,,
,沢村宗之助,,Sonosuke Sawamura
,山路義人,,Yoshito Yamaji
,浅尾奥山,,Okayama Asao
,春本富士夫,,Fujio Harumoto
,杉山昌三九,,Shosaku Sugiyama
,南条新太郎,,Shintaro Nanjo
,南部彰三,,Shozo Nanbu
,嵐三右ヱ門,,Tamiemon Arashi
,,,
,水原浩一,,Koichi Mizuhara
,伊達三郎,,Saburo Date
,高倉一郎,,Ichiro Takura
,玉置一恵,,Kazue Tamaki
,芝田総二,,Shinji Shibata
,沖時男,,Tokio Oki
,浜田雄史,,Hideo Hamada
,若杉曜子,,Yoko Wakasugi
,井上明子,,Akiko Inoue
,,,
,横山文彦,,Fumihiko Yokoyama
,春日清,,Kiyoshi Kasuga
,愛原光一,,Koichi Aihara
,木村玄,,Gen Kimura
,千石泰三,,Yuzo Sengoku
,志賀明,,Akira Shiga
,若原進,,Susumu Wakahara
,福井隆次,,Ryuji Fukui
,大杉潤,,Jun Osugi
,,,
,大林一夫,,Kazuo Obayashi
,藪内武司,,Takeshi Yabuchi
,竹谷俊彦,,Takeya Toshihiko
,森田健二,,Kenji Morita
,長岡三郎,,Saburo Nagaoka
,馬場勝義,,Katsuyoshi Baba
,森内一夫,,Kazuo Moriuchi
,有村淳,,Jun Arimura
,寺村孝,,Takashi Teramura
,,,
監督,森一生,Director,Kazuo Mori
