製作,田中友幸,Producer,Tomoyuki Tanaka
製作補,根津博,Assistant Producer,Hiroshi Nezu
,,,
脚本,馬淵薫,Screenplay,Kaoru Mabuchi
,太宰治『走れメロス』より,,From Osamu Danzai’s “Running Meros”
,,,
撮影,山田一夫,Photography,Kazuo Yamada
美術,植田寛,Art,Hiroshi Ueda
録音,西川善男,Sound,Yoshio Nishikawa
照明,森弘光,Lighting,Hiromitsu Mori
音楽,伊福部昭,Music,Akira Ifukube
整音,下永尚,Dubbing,Hisashi Shimonaga
,,,
監督助手,竹林進,Assistant Director,Susumu Takebayashi
編集,黒岩義民,Editor,Yoshitami Kuroiwa
合成,三瓶一信,Synthesis,Kazunobu Sanpei
衣裳デザイン,真木小太郎,Costume Design,Kotaro Maki
現像,東京現像所,Developing,Tokyo Laboratory
製作担当者,江口英彦,Production Manager,Hidehiko Eguchi
,,,
出演者,,Performers,
,,,
,三船敏郎,,Toshiro Mifune
,,,
,三橋達也,,Tatsuya Mihashi
,中丸忠雄,,Tadao Nakamaru
,佐藤允,,Makoto Sato
,,,
,浜美枝,,Mie Hama
,若林映子,,Akiko Wakabayashi
,白川由美,,Yumi Shirakawa
,,,
,有島一郎,,Ichiro Arishima
,田崎潤,,Jun Tazaki
,平田昭彦,,Akihiko Hirata
,,,
,黒部進,,Susumu Kurobe
,天本英世,,Hideyo Amamoto
,黒沢年男,,Toshio Kurosawa
,桜井浩子,,Hiroko Sakurai
,大木正司,,Shoji Oki
,堺左千夫,,Sachio Sakai
,,,
,石田茂樹,,Shigeki Ishida
,春日章良,,Shunji Kasuga
,草川直也 ,,Naoya Kusakawa
,山本廉,,Ren Yamamoto
,沢村いき雄,,Ikio Sawamura
,高田稔,,Minoru Takada
,,,
,吉田俊彦,,Toshihiko Yoshida
,黒木順,,Jun Kuroki
,長谷川弘,,Hiroshi Hasegawa
,荒木保夫,,Yasuo Araki
,土屋詩朗,,Shiro Tsuchiya
殺陣,久世竜,Action Director,Ryu Kuse
,,,
監督,谷口千吉,Director,Senkichi Taniguchi
