製作,田中友幸,Producer,Tomoyuki Tanaka
,田中文雄,,Fumio Tanaka
,,,
原作,小松左京,Original Story,Sakyo Komatsu
,光文社 カッパ・ノベルス,,Kobunsha Corporation Kappa Novels
,,,
脚本,橋本忍,Screenplay,Shinobu Hashimoto
,,,
撮影,村井博,Photography,Hiroshi Murai
,木村大作,,Daisuke Kimura
音楽,佐藤勝,Music,Masaru Sato
美術,村木与四郎,Art,Yoshiro Muraki
録音,伴利也,Sound,Toshiya Ban
照明,佐藤幸次郎,Lighting,Kojiro Sato
,,,
監督助手,橋本幸治,Assistant Director,Koji Hashimoto
編集,池田美千子,Editor,Michiko Ikeda
スチール,石月美徳,Stills,Yoshinori Ishizuki
現像,東洋現像所,Developing,Toyo Laboratory
協力,日本海洋産業株式会社,Cooperation,"Japan Marine Industry Co., Ltd."
製作担当者,森知貴秀,Production Manager,Takahide Morichi
,,,
特殊技術,,Special Effects,
撮影,富岡素敬,Photography,Motoyoshi Tomioka
美術,井上泰幸,Art,Yasuyuki Inoue
照明,森本正邦,Lighting,Masakuni Morimoto
光学撮影,宮西武史,Optical Photography,Takeshi Miyanishi
合成,三瓶一信,Synthesis,Kazunobu Sanpei
操演,松本光司,Physical Effects,Koji Matsumoto
,,,
監督助手,田淵吉男,Assistant Director,Yoshio Tabuchi
特殊効果,渡辺忠昭,Sound Effects,Tadaaki Watanabe
スチール,田中一清,Still,Kazukiyo Tanaka
整音,東宝録音センター,Dubing,Toho Sound Center
効果,東宝効果集団,Effects,Toho Effects Group
製作担当者,篠田啓助,Production Manager,Keisuke Shinoda
,,,
特別スタッフ,竹内均 (東京大学教授),Special Staff,"Takeuchi Hira (Professor, Tokyo University)"
,奈須紀幸 (東京大学教授),,"Nori Nasu (Professor, Tokyo University)"
,大崎順彦 (東京大学教授),,"Haruhiko Osaki (Professor, Tokyo University)"
,諏訪彰 (気象研究所地震研究部長),,"Akira Suwa (Director, Earthquake Research Institute, Meteorological Research Institute)"
,,,
出演者,,Performers,
,,,
,小林桂樹,,Keiju Kobayashi
,,,
,丹波哲郎,,Tetsuro Tanba
,,,
,藤岡弘,,Hiroshi Fujioka
,いしだあゆみ,,Ayumi Ishida
,,,
,中丸忠雄,,Tadao Nakamaru
,夏八木勲,,Isao Natsuyama
,角ゆり子,,Yuriko Sumi
,中村伸郎,,Nobuo Nakamura
,神山繁,,Shigeru Koyama
,,,
,滝田裕介,,Yusuke Takita
,加藤和夫,,Kazuo Kato
,村井国夫,,Kunio Murai
,垂水悟郎,,Goro Tarumi
,新田昌玄,,Shogen Nitta
,森幹太,,Kanta Mori
,高橋昌也,,Masaya Takahashi
,,,
,地井武男,,Takeo Chii
,鈴木瑞穂,,Mizuho Suzuki
,細川俊夫,,Toshio Hosokawa
,斉藤美和,,Miwa Saito
,中条静夫,,Shizuo Chusho
,森下哲夫,,Tetsuo Morishita
,梶哲也,,Tetsuya Kaji
,名古屋章,,Akira Nagoya
,,,
,松下達夫,,Tatsuo Matsushita
,河村弘二,,Koji Kawamura
,近藤準,,Ken Konda
,宮島誠,,Makoto Miyajima
,大久保正信,,Masanobu Okubo
,内田稔,,Minoru Uchida
,早川雄三,,Yuzo Hayakawa
,和田文夫,,Ayao Wada
,石井宏明,,Hiroaki Ishii
,稲垣昭三,,Shozo Inagaki
,,,
,中村哲,,Tetsu Nakamura
,伊東光一,,Koichi Ito
,斉藤英雄,,Hideo Saito
,吉水慶,,Kei Yoshimizu
,中田勉,,Tsutomu Nakata
,大木史朗,,Shiro Oki
,山本武,,Takeshi Yamamoto
,今井和雄,,Kazuo Imai
,鈴木治夫,,Haruo Suzuki
,田中志幸,,Shiko Tanaka
,,,
,永島岳,,Gaku Nagashima
,津田光男,,Mitsuo Tsuda
,磐木吉二郎,,Kichijiro Iwagi
,中島光之助,,Konosuke Nakajima
,大杉雄二,,Yuji Osugi
,熊谷卓三,,Takuzo Kumagai
,小松英三郎,,Eizaburo Komatsu
,門脇三郎,,Saburo Kadowaki
,草間璋夫,,Akio Kusama
,大西康雅,,Yasumasa Onishi
,,,
,服部妙子,,Taeko Hattori
,林由香,,Yuka Hayashi
,川口節子,,Setsuko Kawaguchi
,小林伊津子,,Ichiko Kobayashi
,高橋久美江,,Kumie Takahashi
,鳥居功靖,,Isao Torii
,山野辺敦,,Atsushi Yamanobe
,アンドリュウ・ヒューズ,,Andrew Hughes
,バン・ヘンリー,,Ban Henry
,チャールズ・シームス,,Charles Sheems
,,,
,二谷英明,,Hideaki Nitani
,島田正吾,,Shogo Shimada
,,,
特技監督,中野昭慶,Special Effects Director,Teruyoshi Nakano
,,,
監督,森谷司郎,Director,Shiro Moritani
