製作,永田秀雅,Producer,Hidemasa Nagata
,,,
企画,仲野和正,Planning,Kazumasa Nakano
脚本,高橋二三,Screenplay,Nisan Takahashi
,,,
撮影,上原明,Photography,Akira Uehara
録音,奥村幸雄,Sound,Yukio Okumura
照明,久保江平八,Lighting,Heihachi Kuboe
美術,井上章,Art,Akira Inoue
,,,
主題歌,「ガメラの歌」,Theme Song,Gamera’s Song
唄,ひばり児童合唱団,Performer,Hibari Children’s Choir
作詞,永田秀雅,Lyrics,Hidemasa Nagata
作曲,小町昭,Composition,Akira Komachi
,キングレコード,,King Records
,,,
編集,中静達治,Editor,Tatsuji Nakashizuka
音響効果,小倉信義,Sound Effects,Nobuyoshi Ogura
助監督,小林正夫,Assistant Director,Masao Kobayashi
製作主任,川村清,Production Manager,Kiyoshi Kawamura
現像,東京現像所,Developing,Tokyo Laboratory
,,,
特殊撮影,,Special Photography,
撮影,藤井和文,Photography,Kazufumi Fujii
助監督,阿部志馬,Assistant Director,Shiba Abe
美術,矢野友久,Art,Tomohisa Yano
合成,金子友三,Synthesis,Yuzo Kaneko
操演,金子芳夫,Physical Effects,Yoshio Kaneko
照明,熊木直生,Lighting,Naoki Kumaki
,,,
監督,湯浅憲明,Director,Noriaki Yuasa
,,,
出演者,,Performers,
,,,
,本郷功次郎,,Kojiro Hongo
,笠原玲子（新人）,,Reiko Kasahara (Newcomer)
,丸井太郎,,Taro Marui
,北原義郎,,Yoshiro Kitahara
,,,
,夏木章,,Sho Natsuki
,上田吉二郎,,Kichijiro Ueda
,村上不二夫,,Fujio Murakami
,北城寿太郎,,Jutaro Hojo
,仲村隆,,Takashi Nakamura
,螢雪太郎,,Taro Hotaruyuki
,阿部尚之（劇団いろは）,,Naoyuki Abe (Theater Company Iroha)
,,,
,大山健二,,Kenji Oyama
,伊東光一,,Koichi Ito
,三夏伸,,Shin Minatsu
,森矢雄二,,Yuji Moriya
,丸山修,,Osamu Maruyama
,津田駿,,Shunji Tsuda
,飛田喜佐夫,,Kisao Tobita
,遠藤哲平,,Tetsuhei Endo
,ジョー・オハラ,,Joe Ohara
,原田該,,Gen Harada
,,,
,伊達正,,Tadashi Date
,中田勉,,Tsutomu Nakata
,槙俊夫,,Toshio Maki
,高見貫,,Nuki Takami
,志保京助,,Kyosuke Shiho
,杉森麟,,Rin Sugimori
,武江義雄,,Yoshio Mukie
,九段吾郎,,Goro Kudan
,森田健二,,Kenji Morita
,河島尚真,,Shoshin Kawashima
,,,
,中原健,,Ken Nakahara
,喜多大八,,Daihachi Kita
,大庭健二,,Kenji Oba
,後藤武彦,,Takehiko Goto
,井上大吾,,Daigo Inoue
,隅田一男,,Kazuo Sumida
,高田宗彦,,Munehiko Takada
,米沢冨士夫,,Fujio Yonezawa
,山根圭一郎,,Keiichiro Yamane
,荒木康夫,,Yasuo Araki
,,,
,南堂正樹,,Masaki Minamido
,藤井竜史,,Ryuji Fujii
,岡郁二,,Ikuji Oka
,花布洋,,Hiroshi Nana
,前田五郎,,Goro Maeda
,竹里光子,,Mitsuko Takemori
,天地仁美,,Hitomi Tenchi
,一条淳子,,Junko Ichijo
,岡田陽子,,Yoko Okada
,新垣輝雄 ,,Teruo Aragaki
