製作,田中友幸,Producer,Tomoyuki Tanaka
,,,
脚本,関沢新一,Screenplay,Shinichi Sekizawa
,斯波一絵,,Kazue Shiba
,,,
撮影,山田一夫,Photography,Kazuo Yamada
美術,北猛夫,Art,Takeo Kita
録音,渡会伸,Sound,Shin Watarai
,伴利也,,Toshiya Ban
照明,山口偉治,Lighting,Takeji Yamaguchi
,小島正七,,Shoshichi Kojima
音楽,佐藤勝,Music,Masaru Sato
整音,下永尚,Dubbing,Hisashi Shimonaga
,,,
監督助手,長野卓,Assistant Director,Takeshi Nagano
編集,藤井良平,Editor,Ryohei Fujii
音響効果,金山実,Sound Effects,Minoru Kanayama
現像,東京現像所,Developing,Tokyo Laboratory
製作担当者,坂本泰明,Production Manager,Yasuaki Sakamoto
,,,
特殊技術,,Special Effects,
撮影,富岡素敬,Photography,Motoyoshi Tomioka
,真野田陽一,,Yoichi Manoda
光学撮影,徳政義行,Optical Photography,Yoshiyuki Tokumasa
美術,井上泰幸,Art,Yasuyuki Inoue
照明,原文良,Lighting,Funyoshi Hara
合成,向山宏,Synthesis,Hiroshi Mukoyama
操演,中代文雄,Physical Effects,Fumio Nakashiro
監督助手,中野昭慶,Assistant Director,Teruyoshi Nakano
,,,
協力,パンアメリカン航空,Cooperation,Pan American Airlines
,,,
出演者,,Performers,
,,,
,高島忠夫,,Tadao Takashima
,前田美波里,,Beverly Maeda
,久保明,,Akira Kubo
,,,
,平田昭彦,,Akihiko Hirata
,佐原健二,,Kenji Sahara
,土屋嘉男,,Yoshio Tsuchiya
,,,
,黒部進,,Susumu Kurobe
,鈴木和夫,,Kazuo Suzuki
,丸山謙一郎,,Kenichiro Maruyama
,久野征四郎,,Seishiro Kuno
,西條康彦,,Yasuhiko Saijo
,,,
,当銀長太郎,,Chotaro Togin
,大前亘,,Wataru Omae
,大仲清治,,Seiji Okada
,関田裕,,Hiroshi Sekita
,中島春雄,,Haruo Nakajima
,小人のマーチャン,,Little Man Machan
,,,
特技監修,円谷英二,Special Effects Supervisor,Eiji Tsuburaya
特技監督,有川貞昌,Special Effects Director,Sadamasa Arikawa
,,,
監督,福田純,Director,Jun Fukuda
