製作,田中友幸,Producer,Tomoyuki Tanaka
,,,
脚本,関沢新一,Screenplay,Shinichi Sekizawa
,,,
撮影,富岡素敬,Photography,Motoyoshi Tomioka
美術,北猛夫,Art,Takeo Kita
録音,刀根紀雄,Sound,Norio Tone
照明,原文良,Lighting,Funyoshi Hara
整音,下永尚,Dubbing,Hisashi Shimonaga
,,,
音楽,宮内国郎,Music,Kunio Miyauchi
主題歌,クラウン・レコード,Theme Song,Crown Records
「怪獣マーチ」,,"""Kaiju March""",
作詞,関沢新一,Lyrics,Shinichi Sekizawa
作曲,叶弦大,Composition,Gendai Kano
編曲,小杉仁三,Arrangement,Norizu Kosugi
歌,佐々木梨里,Performer,Risa Sasaki
,,,
監督助手,久松正明,Assistant Director,Masaaki Hisamatsu
,中野昭慶,,Teruyoshi Nakano
編集,永見正久,Editor,Masahisa Nagami
合成,向山宏,Synthesis,Hiroshi Mukoyama
操演,中代文雄,Physical Effects,Fumio Nakashiro
現像,東京現像所,Developing,Tokyo Laboratory
製作担当者,坂井靖史,Production Manager,Yasushi Sakai
,,,
出演者,,Performers,
,,,
,矢崎知紀,,Tomonori Yazaki
,天本英世,,Hideyo Amamoto
,佐原健二,,Kenji Sahara
,中真千子,,Machiko Naka
,,,
,堺左千夫,,Sachio Sakai
,鈴木和夫,,Kazuo Suzuki
,沢村いき雄,,Ikio Sawamura
,石田茂樹,,Shigeki Ishida
,佐田豊,,Yutaka Sada
,当銀長太郎,,Chotaro Togin
,中山豊,,Yutaka Nakayama
,田島義文,,Yoshibumi Tajima
,,,
,伊藤潤一,,Junichi Ito
,森徹,,Toru Mori
,黒川俊哉,,Toshiya Kurokawa
,宮岡裕之,,Hiroyuki Miyaoka
,高橋信人,,Nobuhito Takahashi
,伊東ひでみ,,Hidemi Ito
,小人のマーチャン,,Little Man Machan
,覚幸泰彦,,Yasuhiko Aikawa
,中島春雄,,Haruo Nakajima
ミニラの声,内山みどり,Voice of Minira,Midori Uchiyama
,,,
特技監修,円谷英二,Special Effects Supervisor,Eiji Tsuburaya
,,,
監督,本多猪四郎,Director,Ishiro Honda
