製作,田中文雄,Producer,Fumio Tanaka
,,,
脚本,小川英,Screenplay,Ei Ogawa
,武末勝,,Sho Takematsu
,,,
撮影,西垣六郎,Photography,Rokuro Nishigaki
美術,育野重一,Art,Shigekazu Ikuno
録音,渡会伸,Sound,Shin Watarai
照明,佐藤幸次郎,Lighting,Kojiro Sato
音楽,真鍋理一郎,Music,Riichiro Manabe
整音,東宝録音センター,Dubbing,Toho Sound Center
,,,
監督助手,河崎義祐,Assistant Director,Yoshisuke Kawasaki
編集,近藤久,Editor,Hisashi Kondo
合成,三瓶一信,Synthesis,Kazunobu Sanpei
現像,東京現像所,Developing,Tokyo Laboratory
製作担当者,橋本利明,Production Manager,Toshiaki Hashimoto
,,,
出演者,,Performers,
,,,
,高橋長英,,Choei Takahashi
,江美早苗,,Tsuzuro Nakasato
,藤田みどり,,Midori Fujita
,,,
,岸田森,,Shin Kishida
,高品格,,Kaku Takashina
,大滝秀治,,Hideji Otaki
,,,
,松下達夫,,Tatsuo Matsushita
,小川安三,,Yasuzo Ogawa
,大前亘,,Wataru Omae
,桂木美加,,Mika Katsuragi
,二見忠男,,Tadao Futami
,,,
,立花房子,,Fusako Tachibana
,川口節子,,Setsuko Kawaguchi
,鈴木治夫,,Haruo Suzuki
,記平佳枝,,Yoshie Kihira
,毛利幸子,,Sachiko Mori
,山添三千代,,Michio Yamazoe
,,,
監督,山本迪夫,Director,Michio Yamamoto
