製作,藤本真澄,Producer,Sanezumi Fujimoto
,黒澤明,,Akira Kurosawa
,,,
脚本,菊島隆三,Screenplay,Ryuzo Kikushima
,小国英雄,,Hideo Oguni
,橋本忍,,Shinobu Hashimoto
,黒澤明,,Akira Kurosawa
,,,
撮影,山崎市雄,Photography,Ichio Yamazaki
美術,村木与四郎,Art,Yoshiro Muraki
録音,矢野口文雄,Sound,Fumio Yanoguchi
,下永尚,,Hisashi Shimonaga
照明,猪原一郎,Lighting,Ichiro Inohara
音楽,佐藤勝,Music,Masaru Sato
,,,
美術監修,江崎孝坪,Art Supervision,Kohei Ezaki
監督助手,野長瀬三摩地,Assistant Director,Samaji Nonagase
特殊技術,東宝技術部,Developing,Toho Laboratory
製作担当者,根津博,Production Manager,Hiroshi Nezu
,,,
出演者,,Performers,
,,,
,三船敏郎,,Toshiro Mifune
,,,
,千秋実,,Minoru Chiaki
,藤原釜足,,Kamatari Fujiwara
,藤田進,,Susumu Fujita
,志村喬,,Takashi Shimura
,上原美佐,,Misa Uehara
,,,
,三好栄子,,Eiko Miyoshi
,樋口年子,,Toshiko Higuchi
,藤木悠,,Yu Fujiki
,土屋嘉男,,Yoshio Tsuchiya
,高堂国典,,Kuninori Kodo
,加藤武,,Takeshi Kato
,三井弘次 (松竹),,Koji Mitsui (Shochiku)
,小川虎之助,,Toranosuke Ogawa
,,,
,上田吉二郎,,Kichijiro Ueda
,富田仲次郎,,Nakajiro Tomita
,田島義文,,Yoshibumi Tajima
,沢村いき雄,,Ikio Sawamura
,大村千吉,,Senkichi Omura
,堺左千夫,,Sachio Sakai
,佐藤允,,Makoto Sato
,小杉義男,,Yoshio Kosugi
,,,
,谷晃,,Akira Tani
,佐田豊,,Yutaka Sada
,笈川武夫,,Takeo Oikawa
,中丸忠雄,,Tadao Nakamaru
,熊谷二良,,Jiro Kumagai
,広瀬正一,,Shoichi Hirose
,西条悦朗,,Etsuo Saijo
,長島正芳,,Masayoshi Nagashima
,大橋史典,,Fuminori Ohashi
,大友伸,,Shin Otomo
,,,
,伊藤実,,Minoru Ito
,鈴木治夫,,Haruo Suzuki
,金澤重勝,,Shigekatsu Kanazawa
,日方一夫,,Kazuo Hinata
,中島春雄,,Haruo Nakajima
,久世竜,,Ryu Kuze
,千葉一郎,,Ichiro Chiba
,砂川繁視,,Shigemi Sunakawa
,緒方燐作,,Rinsaku Ogata
,山口博義,,Hiroshi Yamaguchi
,坂本晴哉,,Haruya Sakamoto
,,,
香取神道流,杉野嘉男,Katori Shinto Style,Yoshio Sugino
大日本弓馬会武田流,金子家教,Dainippon Yuma Kai Association Takeda Style,Kakyo Kaneko
,遠藤茂,,Shigeru Endo
振付,県洋二,Choreography,Yoji Ken
,日劇ダンシングチーム,,Japan Theater Dancing Team
,東宝芸能学校,,Toho Entertainment School
,,,
監督,黒澤明,Director,Akira Kurosawa
