製作,本木荘二郎,Producer,Sojiro Motoki
,,,
脚本,黒澤明,Screenplay,Akira Kurosawa
,橋本忍,,Shinobu Hashimoto
,小国英雄,,Hideo Oguni
,,,
撮影,中井朝一,Photography,Asakazu Nakai
美術,松山崇,Art,Takashi Matsuyama
照明,森茂,Lighting,Shigeru Mori
録音,矢野口文雄,Sound,Fumio Yanoguchi
,,,
音楽,早坂文雄,Music,Fumio Hayasaka
,,,
美術考証,江崎孝坪,Conceptual Art,Kohei Ezaki
剣術指導,杉野嘉男 (日本古武道振興会),Sword Instruction,Yoshio Sugino (Japan Kobudo Promotion Organization)
流鏑馬指南,金子家教 (日本弓馬会範士),Horse Instruction,Kakyo Kaneko (Japan Horse Parliament)
,遠藤茂 (日本弓馬会教士),,Shigero Endo (Japan Horse Parliament)
,,,
監督助手,堀川弘通,Assistant Director,Hiromichi Horikawa
粧髪,山田順三郎,Hairstyle,Junzaburo Yamada
現像,東宝現像所,Developing,Toho Laboratory
製作担当者,根津博,Production Manager,Hiroshi Nezu
,,,
出演者,,Performers,
,,,
,三船敏郎,,Toshiro Mifune
,志村喬,,Takashi Shimura
,,,
,津島恵子,,Keiko Tsushima
,島崎雪子,,Yukiko Shimazaki
,,,
,藤原釜足,,Kamatari Fujiwara
,加東大介,,Daisuke Kato
,木村功,,Isao Kimura
,千秋実,,Minoru Chiaki
,宮口精二,,Seiji Miyaguchi
,,,
,小杉義男,,Yoshio Kosugi
,左卜全,,Bokuzen Hidari
,稲葉義男,,Yoshio Inaba
,土屋嘉男,,Yoshio Tsuchiya
,高堂国典,,Kuninori Kodo
,,,
,東野英治郎,,Eijiro Tono
,上田吉二郎,,Kichijiro Ueda
,多々良純,,Jun Tatara
,渡辺篤,,Atsushi Watanabe
,小川虎之助,,Toranosuke Ogawa
,山形勲,,Isao Yamagata
,,,
,上山草人,,Sojin Kamiyama
,清水元,,Gen Shimizu
,榊田敬二,,Keiji Sakakida
,高木新平,,Shinpei Takagi
,大友伸,,Shin Otomo
,高原駿雄,,Toshio Takahara
,,,
,杉寛,,Kan Sugi
,林幹,,Kan Hayashi
,堺左千夫,,Sachio Sakai
,牧壮吉,,Sokichi Maki
,千葉一郎,,Ichiro Chiba
,千石規子,,Noriko Sengoku
,本間文子,,Noriko Honma
,,,
,大久保正信,,Masanobu Okubo
,西條悦郎,,Etsuro Saijo
,伊藤実,,Minoru Ito
,坂本晴哉,,Haruya Sakamoto
,桜井巨郎,,Giro Sakurai
,渋谷英男,,Hideo Shibuya
,鴨田清,,Kiyoshi Kamata
,大村千吉,,Senkichi Omura
,,,
,成田孝,,Takashi Narita
,広瀬庄一,,Shoichi Hirose
,宇野晃司,,Koji Uno
,橘正晃,,Masaaki Tachibana
,坪野鎌之,,Kamayuki Tsubono
,中恭二,,Kyoji Naka
,宮川珍男児,,Sandanji Miyagawa
,砂川繁視,,Shigemi Sunakawa
,,,
,谷晃,,Akira Tani
,草間璋夫,,Akio Kusama
,天見竜太郎 ,,Ryutaro Amemi
,三上淳,,Jun Mikami
,中島春雄,,Haruo Nakajima
,峰三平,,Sanpei Mine
,松下正秀,,Masahide Matsushita
,池田兼雄,,Kaneo Ikeda
,,,
,熊谷二良,,Jiro Kumagai
,川越一平,,Ippei Kawagoe
,鈴川二郎,,Jiro Suzukawa
,夏木順平,,Junpei Natsuki
,神山恭一,,Kyoichi Kamiyama
,鈴木治夫,,Haruo Suzuki
,天野五郎,,Goro Amano
,吉頂寺晃,,Akira Kichijoji
,,,
,岩本弘司,,Koji Iwamoto
,安芸津広,,Hiroshi Akitsu
,山田彰,,Akira Yamada
,今井和雄,,Kazuo Imai
,中西英介,,Eisuke Nakanishi
,伊原徳,,Toku Ihara
,大塚秀雄,,Hideo Otsuka
,大江秀,,Shu Oe
,,,
,堤康久,,Yasuhisa Tsutsumi
,大西康雄,,Yasumasa Onishi
,片桐常雄,,Tsuneo Katagiri
,下田巡,,Jun Shimoda
,河辺昌義,,Masayoshi Kawabe
,加藤茂雄,,Shigeo Kato
,川又吉一,,Yukio Kawamata
,関猛,,Takeshi Seki
,,,
,登山晴子,,Haruko Toyama
,馬野都留子,,Tsuruko Mano
,小野松枝,,Matsue Ono
,一万慈多鶴恵,,Tazue Ichimonji
,大城政子,,Masako Oki
,小沢経子,,Keiko Ozawa
,上遠野路子,,Michiko Kado
,中野俊子,,Toshiko Nakano
,,,
,東静子,,Shizuko Azuma
,森啓子,,Kyoko Mori
,河辺美智子,,Michiko Kawabe
,戸川夕子,,Yuko Togawa
,北野八代子,,Yayoko Kitano
,須山操,,Misao Suyama
,高原とり子,,Toriko Takahara
,劇団若草,,Wakakusa Theatrical Company
,劇団こけし座,,Kokeshiza Theatrical Company
,日本綜合芸術社,,Japan Synthetic Art Company
,,,
監督,黒澤明,Director,Akira Kurosawa
