企画,久保寺生郎,Planning,Ikuo Kubodera
原作,子母沢寛,Original Story,Kan Shimozawa
潤色,犬塚稔,Adaptation,Minoru Inuzuka
脚本,星川清司,Screenplay,Seiji Hoshikawa
,,,
撮影,牧浦地志,Photography,Chikashi Makiura
録音,長岡栄,Sound,Sakae Nagaoka
照明,中岡源権,Lighting,Genji Nakaoka
美術,太田誠一,Art,Seiichi Ota
音楽,伊福部昭,Music,Akira Ifukube
,,,
編集,山田弘,Editor,Hiroshi Yamada
装置,林米松,Apparatus,Yonematsu Hayashi
擬斗,宮内昌平,Action,Shohei Miyauchi
音響効果,倉嶋暢,Sound Effects,Manabu Kurashima
助監督,土井茂,Assistant Director,Shigeru Doi
製作主任,田辺満,Production Manager,Mitsuru Tanabe
現像,東洋現像所,Developing,Toyo Laboratory
,,,
出演者,,Performers,
,,,
,勝新太郎,,Shintaro Katsu
,,,
,高田美和,,Miwa Takada
,万里昌代,,Masayo Banri
,,,
,成田純一郎,,Junichiro Narita
,小林勝彦,,Katsuhiko Kobayashi
,北城寿太郎,,Jutaro Hojo
,名和宏,,Hiroshi Nawa
,安部徹,,Toru Abe
,,,
,松居茂美,,Shigemi Matsui
,水原浩一,,Koichi Mizuhara
,嵐三右ヱ門,,Tamiemon Arashi
,村瀬幸子,,Sachiko Murase
,若杉曜子,,Yoko Wakasugi
,近江輝子,,Teruko Omi
,,,
,羅門光三郎,,Mitsusaburo Ramon
,玉置一恵,,Kazue Tamaki
,石原須磨男,,Sumao Ishihara
,浜田雄史,,Hideo Hamada
,沖時男,,Tokio Oki
,堀北幸夫,,Yukio Horikita
,藤川準,,Jun Fujikawa
,,,
,岩田正,,Tadashi Iwata
,大杉潤,,Jun Osugi
,越川一,,Ichi Koshikawa
,志賀明,,Akira Shiga
,加賀美健一,,Kenichi Kagami
,西岡弘善,,Hiroyoshi Nishioka
,山岡鋭二郎,,Eijiro Yamaoka
,黒木英男,,Hideo Kuroki
,種井信子,,Nobuko Tanei
,谷口和子,,Kazuko Taniguchi
,,,
監督,田中徳三,Director,Tokuzo Tanaka
