製作,田中友幸,Producer,Tomoyuki Tanaka
,,,
原作,黒沼健,Original Story,Ken Kuronuma
脚本,村田武雄,Screenplay,Takeo Murata
,木村武,,Takeshi Kimura
,,,
撮影,芦田勇,Photography,Isamu Ashida
美術,北辰雄,Art,Tatsuo Kita
録音,宮崎正信,Sound,Masanobu Miyazaki
照明,森茂,Lighting,Shigeru Mori
音楽,伊福部昭,Music,Akira Ifukube
,,,
特技監督,圓谷英二,Special Effects Director,Eiji Tsuburaya
,渡辺明,,Akira Watanabe
,城田正雄,,Masao Shirota
,向山宏,,Hiroshi Mukoyama
,坂本泰明,,Yasuaki Sakamoto
,,,
監督助手,福田純,Assistant Director,Jun Fukuda
編集,岩下広一,Editor,Koichi Iwashita
音響効果,三縄一郎,Sound Effects,Ichiro Minawa
現像,東洋現像所,Developing,Toyo Laboratory
製作担当者,真木照夫,Production Manager,Teruo Maki
,,,
出演者,,Performers,
,,,
,佐原健二,,Kenji Sahara
,白川由美,,Yumi Shirakawa
,小堀明男,,Akio Kobori
,,,
,平田昭彦,,Akihiko Hirata
,村上冬樹,,Fuyuki Murakami
,中田康子,,Yasuko Nakada
,山田巳之助,,Minosuke Yamada
,田島義文,,Yoshibumi Tajima
,,,
,水の也清美,,Kiyomi Mizunoya
,松尾文人,,Fuminto Matsuo
,如月寛多,,Kanta Kisaraki
,草間璋夫,,Akio Kusama
,河崎堅男,,Kanao Kawasaki
,高木清,,Kiyoshi Takagi
,三原秀夫,,Hideo Saeki
,,,
,今泉廉,,Ren Imaizumi
,中谷一郎,,Ichiro Nakatani
,大仲清二,,Seiji Onaka
,鈴川二郎,,Jiro Suzukawa
,緒方燐作,,Rinsaku Ogata
,榊田敬二,,Keiji Sakakida
,熊谷二良,,Jiro Kumagai
,千葉一郎,,Ichiro Chiba
,向井淳一郎,,Junichiro Mukai
,津田光男,,Mitsuo Tsuda
,,,
,馬野都留子,,Tsuruko Mano
,一万慈鶴恵,,Tazue Ichimanji
,中野俊子,,Toshiko Nakano
,黒岩小枝子,,Saeko Kuroiwa
,広瀬正一,,Shoichi Hirose
,勝本圭一郎,,Keiichiro Katsumoto
,門脇三郎,,Saburo Kadowaki
,松本光男,,Mitsuo Matsumoto
,宇野晃司,,Koji Uno
,岡部正,,Tadashi Okabe
,,,
,岡豊,,Yutaka Oka
,日方一夫,,Kazuo Hinata
,山田彰,,Akira Yamada
,砂川繁視,,Shigemi Sunagawa
,平凡太郎,,Bontaro Taira
,橘正晃,,Masaaki Tachibana
,須田準之助,,Junnosuke Suda
,吉田新,,Shin Yoshida
,重信安宏,,Yasuhiro Shigenobu
,堤康久,,Yasuhisa Tsutsumi
,,,
,海上日出男,,Hideo Unagami
,成田孝,,Takashi Narita
,鈴木孝次,,Toshitsugu Suzuki
,坂本晴哉,,Haruya Sakamoto
,大西康雄,,Yasumasa Onishi
,坪野鎌之,,Kamayuki Tsubono
,仙石正夫,,Masao Sengoku
,福田和郎,,Kazuo Fukuda
,澁谷英男,,Hideo Shibuya
,鈴木治夫,,Haruo Suzuki
,,,
,茨田正夫,,Masao Barata
,岩本弘司,,Koji Iwamoto
,越後憲三,,Kenzo Echigo
,小野実,,Minoru Ono
,河辺昌義,,Masayoshi Kawabe
,手塚克巳,,Katsumi Tezuka
,中島春雄 ,,Haruo Nakajima
,大川時生,,Tokio Okawa
,,,
監督,本多猪四郎,Director,Ishiro Honda
