企画,久保寺生郎,Planning,Ikuo Kubodera
原作,子母沢寛,Original Story,Kan Shimozawa
脚本,直居欽哉,Screenplay,Kinya Naoi
,,,
撮影,宮川一夫,Photography,Kazuo Miyagawa
録音,大谷厳,Sound,Gen Otani
照明,中岡源権,Lighting,Genji Nakaoka
美術,加藤茂,Art,Shigeru Kato
音楽,鏑木創,Music,Hajime Kaburagi
,,,
編集,菅沼完二,Editor,Kanji Suganuma
擬斗,楠本栄一,Action,Eiichi Kusumoto
音響効果,倉嶋暢,Sound Effects,Manabu Kurashima
助監督,中西忠三,Assistant Director,Chuzo Nakanishi
製作主任,吉岡徹,Production Manager,Toru Yoshioka
主題歌,大映レコード,Theme Song,Daiei Records
歌,勝新太郎,Performer,Shintaro Katsu
現像,東洋現像所,Developing,Toyo Laboratory
,,,
出演者,,Performers,
,,,
,勝新太郎,,Shintaro Katsu
,,,
,野川由美子,,Yumiko Nogawa
,三木本賀代,,Kayo Mikimoto
,待田京介,,Kyosuke Machida
,,,
,志村喬,,Takashi Shimura
,井上昭文,,Shobun Inoue
,小松方正,,Hosei Komatsu
,北城寿太郎,,Jutaro Hojo
,千波丈太郎,,Jotaro Senba
,土方弘,,Hiroshi Hijikata
,,,
,水原浩一,,Koichi Mizuhara
,原聖四郎,,Shiro Harasei
,南部彰三,,Shozo Nanbu
,山本一郎,,Ichiro Yuki
,舟橋竜次,,Ryuji Funabashi
,堀北幸夫,,Yukio Horikita
,越川一,,Ichi Koshikawa
,,,
,石原須磨男,,Sumao Ishihara
,春日清,,Kiyoshi Kasuga
,芝田總二,,Soji Shibata
,近江輝子,,Teruko Omi
,勝村淳,,Jun Katsumura
,薮内武司,,Takeshi Yabuchi
,西岡弘善,,Hiroyoshi Nishioka
,山岡鋭二郎,,Eijiro Yamaoka
,,,
,菊野昌代士,,Masanobu Kikuno
,暁新二郎,,Shinjiro Akira
,芦川進,,Susumu Ashikawa
,藤春保,,Kei Fujiharu
,織田利枝子,,Keiko Oda
,水町由香里,,Yukari Mizumachi
,谷口和子,,Kazuko Taniguchi
,長友宗之,,Masayuki Nagatomo
,,,
監督,安田公義,Director,Kimiyoshi Yasuda
