企画,久保寺生郎,Planning,Ikuo Kubodera
原作,子母沢寛,Original Story,Kan Shimozawa
脚本,犬塚稔,Screenplay,Minoru Inuzuka
,,,
撮影,牧浦地志,Photography,Chikashi Makiura
録音,大谷巌,Sound,Iwao Otani
照明,加藤博也,Lighting,Hiroya Kato
美術,内藤昭,Art,Akira Naito
音楽,伊福部昭,Music,Akira Ifukube
,,,
編集,管沼完ニ,Editor,Kanji Suganuma
装置,梶谷和男,Apparatus,Kazuo Kajitani
擬斗,宮内昌平,Action,Shohei Miyauchi
邦楽,中本敏生,Traditional Music,Toshio Nakamoto
助監督,国原俊明,Assistant Director,Toshiaki Kohara
製作主任,田辺満,Production Manager,Mitsuru Tanabe
,,,
出演者,,Performers,
,,,
,勝新太郎,,Shintaro Katsu
,万里昌代,,Masayo Banri
,,,
,島田竜三,,Ryuzo Shimada
,三田村元,,Gen Mitamura
,天知茂,,Shigeru Amachi
,南道郎,,Michiro Minami
,柳永二郎,,Eijiro Yanagi
,,,
,千葉敏郎,,Toshio Chiba
,守田学,,Kakuya Morita
,山路義人,,Yoshito Yamaji
,舟木洋一,,Yoichi Funaki
,尾上栄五郎,,Eigoro Onoe
,毛利郁子,,Ikuko Mori
,真城千都世,,Chitose Maki
,,,
,市川謹也,,Shinya Ichikawa
,藤川準,,Jun Fujikawa
,堀北幸夫,,Yukio Horikita
,浜田雄史,,Hideo Hamada
,丸凡太,,Bonta Maru
,木村玄,,Gen Kimura
,福井隆次,,Ryuji Fukui
,越川一,,Ichi Koshikawa
,西岡弘善,,Hiroyoshi Nishioka
,小林加奈枝,,Kanae Kobayashi
,,,
,志賀明,,Akira Shiga
,愛原光一,,Koichi Aihara
,谷口昇,,Noboru Taniguchi
,細谷新吾,,Shingo Hosoya
,千石泰三,,Yuzo Sengoku
,長岡三郎,,Saburo Nagaoka
,馬場勝義,,Katsuyoshi Baba
,結城要,,Yuki Kaname
,寺村孝,,Takashi Teramura
,淡波圭子,,Keiko Awanami
,,,
監督,三隅研次,Director,Kenji Misumi
