製作,田中友幸,Producer,Tomoyuki Tanaka
,,,
脚本,関沢新一,Screenplay,Shinichi Sekizawa
,押川春浪 『海底軍艦』より,,From Shunro Oshikawa’s “Undersea Battleship”
,,,
撮影,小泉一,Photography,Hajime Koizumi
美術,北猛夫,Art,Takeo Kita
録音,上原正直,Sound,Masanao Uehara
照明,小島正七,Lighting,Shoshichi Kojima
音楽,伊福部昭,Music,Akira Ifukube
整音,下永尚,Dubbing,Hisashi Shimonaga
,,,
監督助手,梶田興治,Assistant Director,Koji Kajita
編集,藤井良平,Editor,Ryohei Fujii
音響効果,金山実,Sound Effects,Minoru Kanayama
現像,東京現像所,Developing,Tokyo Laboratory
製作担当者,中村茂,Production Manager,Shigeru Nakamura
,,,
特殊技術,,Special Effects,
撮影,有川貞昌,Photography,Sadamasa Arikawa
,富岡素敬,,Motoyoshi Tomioka
光学撮影,真野田幸雄,Optical Photography,Yukio Manoda
,徳政義行,,Yoshiyuki Tokumasa
美術,渡辺明,Art,Akira Watanabe
照明,岸田九一郎,Lighting,Kuichiro Kishida
合成,向山宏,Synthesis,Hiroshi Mukoyama
監督助手,中野昭慶,Assistant Director,Teruyoshi Nakano
製作担当者,小池忠司,Production Manager,Tadashi Koike
,,,
出演者,,Performers,
,,,
,高島忠夫,,Tadao Takashima
,藤山陽子,,Yoko Fujiyama
,,,
,藤木悠,,Yu Fujiki
,佐原健二,,Kenji Sahara
,上原謙,,Ken Uehara
,小泉博,,Hiroshi Koizumi
,,,
,田崎潤,,Jun Tazaki
,田島義文,,Yoshibumi Tajima
,平田昭彦,,Akihiko Hirata
,天本英世,,Hideyo Amamoto
,,,
,藤田進,,Susumu Fujita
,高田稔,,Minoru Takada
,伊藤久哉,,Hisaya Ito
,沢村いき雄,,Ikio Sawamura
,小林哲子,,Tetsuko Kobayashi
,北あけみ,,Akemi Kita
,,,
,長谷川弘,,Hiroshi Hasegawa
,桐野洋雄,,Nadao Kirino
,大友伸,,Shin Otomo
,坂本晴哉,,Haruya Sakamoto
,中村哲,,Tetsu Nakamura
,中山豊,,Yutaka Nakayama
,津田光男,,Mitsuo Tsuda
,宇野晃司,,Koji Uno
,,,
,雨宮貞子,,Sadako Amamiya
,緒方燐作,,Rinsaku Ogata
,大塚秀男,,Hideo Otsuka
,岡豊,,Yutaka Oka
,権藤幸彦,,Yukihiko Gondo
,広瀬正一,,Shoichi Hirose
,手塚勝巳,,Katsumi Tezuka
,熊谷二良,,Jiro Kumagai
,小川安三,,Yasuzo Ogawa
,土屋詩朗,,Shiro Tsuchiya
,,,
,大前亘,,Wataru Omae
,三浦敏男,,Toshio Miura
,河辺昌義,,Masayoshi Kawabe
,安芸津広,,Hiroshi Akitsu
,澁谷英男,,Hideo Shibuya
,山田圭介,,Keisuke Yamada
,広田新二郎,,Shinjiro Hirota
,山路恵介,,Keisuke Yamaji
,鹿島邦義,,Kuroyoshi Kashima
,東宝芸能学校,,Toho Entertainment School
,,,
特技監督,円谷英二,Special Effects Director,Eiji Tsuburaya
,,,
監督,本多猪四郎,Director,Ishiro Honda
