製作,勝新太郎,Producer,Shintaro Katsu
製作補佐,西岡弘善,Assistant Producer,Hiroyoshi Nishioka
,,,
原作,子母沢寛,Original Story,Kan Shimozawa
脚本,安田公義,Screenplay,Kimiyoshi Yasuda
,山田隆之,,Takayuki Yamada
,,,
撮影,牧浦地志,Photography,Chikashi Makiura
録音,大谷巌,Sound,Iwao Otani
照明,美間博,Lighting,Hiroshi Mima
美術,西岡善信,Art,Yoshinobu Nishioka
音楽,富田勲,Music,Isao Tomita
,,,
編集,谷口登司夫,Editor,Toshio Taniguchi
音響効果,倉嶋暢,Sound Effects,Manabu Kurashima
擬斗,楠本栄一,Action,Eiichi Kusumoto
助監督,太田昭和,Assistant Director,Akikazu Ota
製作主任,眞田正典,Production Manager,Masanori Sanada
現像,東洋現像所,Developing,Toyo Laboratory
,,,
出演者,,Performers,
,,,
,勝新太郎,,Shintaro Katsu
,,,
,浜木綿子（東宝）,,Yuko Hamaki (Toho)
,,,
,南原宏冶,,Koji Nanbara
,寺田路恵,,Michie Terada
,,,
,安部徹,,Toru Abe
,佐々木孝丸,,Takamaru Sasaki
,花沢徳衛,,Kanade Hanzawa
,,,
てんぷくトリオ,三波伸介,Tenpuku Trio,Shinsuke Minami
,伊東四朗,,Shoro Ito
,戸塚睦夫,,Mutsuo Totsuka
,汪玲（ワンリン）,,Wang Ling (Wan Lin)
,張翼（チュンイ）,,Cheung Yik (Chun I)
,,,
,大川修,,Osamu Okawa
,早川雄三,,Yuzo Hayakawa
,森章二,,Shoji Mori
,山本一郎,,Ichiro Yuki
,大前均,,Kin Omae
,香川雅人（子役）,,Masato Kagawa (Child)
,,,
,橋本力,,Chikara Hashimoto
,原聖四郎,,Shiro Harasei
,浜田雄史,,Hideo Hamada
,九段吾郎,,Goro Kudan
,秋山勝俊,,Katsutoshi Akiyama
,佐藤京一,,Kyoichi Sato
,岩田正,,Tadashi Iwata
,小林加奈枝,,Kanae Kobayashi
,,,
,黒木現,,Gen Kuroki
,勝村淳,,Jun Katsumura
,新関順司郎,,Shinjiro Shinsho
,伴勇太郎,,Yutaro Ban
,暁新二郎,,Shinjiro Akira
,里見潤,,Jun Satomi
,松田剛武,,Takeshi Matsuda
,大杉潤,,Jun Osugi
,,,
,王羽（ワンユー）,,Wang Yu (Wan Yuu)
,,,
監督,安田公義,Director,Kimiyoshi Yasuda
