製作,田中友幸,Producer,Tomoyuki Tanaka
,,,
原作,香山滋,Original Story,Shigeru Kayama
脚本,村田武雄,Screenplay,Takeo Murata
,本多猪四郎,,Ishiro Honda
,,,
撮影,玉井正夫,Photography,Masao Tamai
美術監督,北猛夫,Art Director,Takeo Kita
美術,中古智,Art,Satoru Chuko
録音,下永尚,Sound,Hisashi Shimonaga
照明,石井長四郎,Lighting,Choshiro Ishii
音楽,伊福部昭,Music,Akira Ifukube
,,,
特殊技術,圓谷英二,Special Effects,Eiji Tsuburaya
,,,
,向山宏,,Hiroshi Mukoyama
,渡辺明,,Akira Watanabe
,岸田九一郎,,Kuichiro Kishida
,,,
監督助手,梶田興治,Assistant Director,Koji Kajita
編集,平泰陳,Editing,Kazuji Taira
音響効果,三縄一郎,Sound Effects,Ichiro Minawa
現像,東宝現像所,Developing,Toho Laboratory
製作担当者,真木照夫,Production Manager,Teruo Maki
,,,
出演者,,Performers,
,,,
,宝田明,,Akira Takarada
,河内桃子,,Momoko Kochi
,平田昭彦,,Akihiko Hirata
,,,
,志村喬,,Takashi Shimura
,,,
,村上冬樹,,Fuyuki Murakami
,堺左千夫,,Sachio Sakai
,小川虎之助,,Toranosuke Ogawa
,山本廉,,Ren Yamamoto
,林幹,,Kan Hayashi
,恩田清二郎,,Seijiro Onda
,笈川武夫,,Takeo Oikawa
,榊田敬二,,Keiji Sakakida
,鈴木豊明,,Toyoaki Suzuki
,高堂國典,,Kuninori Kodo
,,,
,菅井きん,,Kin Sugai
,川合玉江,,Tamie Kawai
,東静子,,Shizuko Azuma
,馬野都留子,,Tsuruko Mano
,,,
,岡部正,,Tadashi Okabe
,鴨田清,,Kiyoshi Kamata
,今泉廉,,Ren Imaizumi
,橘正晃,,Masaaki Tachibana
,帯一郎,,Ichiro Date
,堤康久,,Yasuhisa Tsutsumi
,鈴川二郎,,Jiro Suzukawa
,池谷三郎,,Saburo Iketani
,,,
,手塚勝巳,,Katsumi Tezuka
,中島春雄,,Haruo Nakajima
,,,
監督,本多猪四郎,Director,Ishiro Honda
