e製作,田中友幸,Producer,Tomoyuki Tanaka
,,,
原作,村上元三,Original Story,Genzo Murakami
,「週刊朝日」連載 光文社・版,,“Weekly Asahi” Serialized Kobunsha Edition
脚本,木村武,Screenplay,Takeshi Kimura
,稲垣浩,,Hiroshi Inagaki
,,,
撮影,山田一夫,Photography,Kazuo Yamada
美術,植田寛,Art,Hiroshi Ueda
録音,西川善男,Sound,Yoshio Nishikawa
,宮崎正信,,Masanobu Miyazaki
照明,小島正七,Lighting,Shoshichi Kojima
音楽,伊福部昭,Music,Akira Ifukube
,,,
監督助手,高瀬昌弘,Assistant Director,Masahiro Takase
編集,岩下廣一,Editor,Koichi Iwashita
現像,東京現像所,Developing,Tokyo Laboratory
製作担当者,川上勝太郎,Production Manager,Katsutaro Kawakami
,,,
特撮監督,円谷英二,Special Effects Director,Eiji Tsuburaya
光学撮影,荒木秀三郎,Optical Photography,Shozaburo Araki
撮影,有川貞昌,Photography,Sadamasa Arikawa
照明,岸田九一郎,Lighting,Kuichiro Kishida
特殊美術,渡辺明,Special Art,Akira Watanabe
合成撮影,向山宏,Synthetic Photography,Hiroshi Mukoyama
,,,
出演者,,Performers,
,,,
,三船敏郎,,Toshiro Mifune
,,,
,香川京子,,Kyoko Kagawa
,星由里子,,Yuriko Hoshi
,久我美子,,Yoshiko Kuga
,山田五十鈴,,Isuzu Yamada
,,,
,夏木陽介,,Yosuke Natsuki
,平田昭彦,,Akihiko Hirata
,志村喬,,Takashi Shimura
,市川團子,,Danko Ichikawa
,,,
,田崎潤,,Jun Tazaki
,丹波哲郎,,Tetsuro Tanba
,中丸忠雄,,Tadao Nakamaru
,香川良介,,Ryusuke Kagawa
,藤木悠,,Yu Fujiki
,河津清三郎,,Seizaburo Kawazu
,,,
,藤田進,,Susumu Fujita
,岩井半四郎,,Hanshiro Iwai
,堺左千夫,,Sachio Sakai
,小杉義男,,Yoshio Kosugi
,上田吉二郎,,Kichijiro Ueda
,中北千枝子,,Chieko Nakakita
,東郷晴子,,Haruko Togo
,,,
,山本廉,,Ren Yamamoto
,大友伸,,Shin Otomo
,石田茂樹,,Shigeki Ishida
,長島武夫,,Takeo Nagashima
,天本英世,,Hideyo Amamoto
,櫻井巨郎,,Goro Sakurai
,大村千吉,,Senkichi Omura
,谷晃,,Akira Tani
,沢村いき雄,,Ikio Sawamura
,,,
,堤康久,,Yasuhisa Tsutsumi
,津田光男,,Mitsuo Tsuda
,熊谷二良,,Jiro Kumagai
,岡部正,,Tadashi Okabe
,宇野晃司,,Koji Uno
,手塚勝巳,,Katsumi Tezuka
,土屋詩朗,,Shiro Tsuchiya
,岩本弘司,,Koji Iwamoto
,生方壮児,,Soji Ubukata
,西条悦朗,,Etsuo Saijo
,,,
,山田彰,,Akira Yamada
,三浦敏男,,Toshio Miura
,緒方燐作,,Rinsaku Ogata
,中島春雄,,Haruo Nakajima
,細川隆一,,Ryuichi Hosokawa
,関田裕,,Hiroshi Sekita
,伊原徳,,Toku Ihara
,安芸津広,,Hiroshi Akitsu
,佐藤功一,,Koichi Sato
,千葉一郎,,Ichiro Chiba
,坪野鎌之,,Kamayuki Tsubono
,向井淳一郎,,Junichiro Mukai
,,,
,澁谷英男,,Hideo Shibuya
,三井一也,,Kazuya Mitsui
,黒木順,,Jun Kuroki
,ハンス・ホルネフ,,Hans Hornef
,ビル・バッスム,,Bill Bassman
,ユセフ・オスマン,,Yusef Osman
,ベリー・ハリウラ,,Perry Hariura
,黒岩小枝子,,Saeko Kuroiwa
,中野トシ子,,Toshiko Nagano
,小沢経子,,Keiko Ozawa
殺陣,久世竜,Action Director,Ryu Kuze
,,,
監督,稲垣浩,Director,Hiroshi Inagaki
