企画,久保寺生郎,Planning,Ikuo Kubodera
原作,子母沢寛,Original Story,Kan Shimozawa
脚本,犬塚稔,Screenplay,Minoru Inuzuka
,浅井昭三郎,,Shozaburo Asai
,,,
撮影,竹村康和,Photography,Yasukazu Takemura
録音,大角正夫,Sound,Masao Osumi
照明,加藤博也,Lighting,Hiroya Kato
美術,西岡善信,Art,Yoshinobu Nishioka
音楽,池野成,Music,Sei Ikeno
,,,
編集,谷口孝司,Editor,Takashi Taniguchi
装置,木村重雄,Apparatus,Shigeo Kimura
擬斗,宮内昌平,Action,Shohei Miyauchi
音響効果,倉嶋暢,Sound Effects,Manabu Kurashima
助監督,宮嶋八蔵,Assistant Director,Yoshizo Miyajima
製作主任,小沢宏,Production Manager,Hiroshi Ozawa
現像,東洋現像所,Developing,Toyo Laboratory
,,,
出演者,,Performers,
,,,
,勝新太郎,,Shintaro Katsu
,,,
,久保菜穂子,,Naoko Kubo
,渚まゆみ,,Mayumi Nagisa
,,,
,五味竜太郎,,Ryutaro Gomi
,遠藤辰雄,,Tatsuo Endo
,杉田康,,Yasushi Sugita
,中村豊,,Yutaka Nakamura
,左卜全,,Bokuzen Hidari
,香川良介,,Ryosuke Kagawa
,,,
,水原浩一,,Koichi Mizuhara
,江田島隆,,Takashi Edajima
,南條新太郎,,Shintaro Nanjo
,三角八郎,,Hachiro Misumi
,舟木洋一,,Yoichi Funaki
,毛利郁子,,Ikuko Mori
,近江輝子,,Teruko Omi
,,,
,浜田雄史,,Hideo Hamada
,玉置一恵,,Kazue Tamaki
,越川一,,Ichi Koshikawa
,藤川準,,Jun Fujikawa
,沖時男,,Tokio Oki
,春日清,,Kiyoshi Kasuga
,小林加奈枝,,Kanae Kobayashi
,,,
,千石泰三,,Yuzo Sengoku
,福井隆次,,Ryuji Fukui
,三浦志郎,,Shiro Miura
,愛原光一,,Koichi Aihara
,竹谷俊彦,,Toshihiko Takeya
,薮内武司,,Takeshi Yabuchi
,森宏之,,Hiroyuki Mori
,三木正八郎,,Masahachiro Miki
,松田剛武,,Takeshi Matsuda
,,,
監督,池広一夫,Director,Kazuo Ikehiro
