製作,滝村和男,Producer,Kazuo Takimura
,,,
原作,吉川英治,Original Story,Eiji Yoshikawa
,,,
劇化,北條秀司,Dramatization,Hideji Hojo
脚本,若尾徳平,Screenplay,Tokuhei Wakao
,稲垣浩,,Hiroshi Inagaki
,,,
撮影,安本淳,Photography,Jun Yasumoto
美術監督,伊藤熹朔,Art Director,Kisaku Ito
美術,園真,Art,Makoto Sono
録音,三上長七郎,Sound,Choshichiro Mikami
照明,森茂,Lighting,Shigeru Mori
,,,
音楽,團伊玖磨,Music,Ikuma Dan
按舞,吾妻徳穂,Assignment,Tokuho Azuma
剣道指導,杉野嘉男,Kendo Instruction,Yoshio Sugino
,,,
監督助手,福田純,Assistant Director,Jun Fukuda
編集,大井英史,Editor,Hidefumi Oi
現像,東洋現像所,Developing,Toyo Laboratory
製作担当者,森本朴,Production Manager,Paku Morimoto
,,,
出演者,,Performers,
,,,
宮本武蔵,三船敏郎,Musashi Miyamoto,Toshiro Mifune
佐々木小次郎,鶴田浩二,Kojiro Sasaki,Koji Tsuruta
,,,
朱実,岡田茉莉子,Akemi,Mariko Okada
お通,八千草薫,Otsu,Kaoru Yachigusa
吉野太夫,木暮実千代,Dayu Yoshino,Michio Kogure
,,,
お甲,水戸光子,Oko,Mitsuko Mito
吉岡清十郎,平田昭彦,Seijuro Yoshioka,Akihiko Hirata
祇園藤次,加東大介,Teruji Gion,Daisuke Kato
宗彭沢庵,尾上九朗右衛門,Takuan Soho,Kurouemon Onoue
,,,
本位田又八,堺左千夫,Matahachi Honiden,Sachio Sakai
吉岡伝七郎,藤木悠,Shichiro Yoshioka,Yu Fujiki
小菩薩太夫,北川町子,Tayu Kobosatsu,Machiko Kitagawa
お杉,三好栄子,Osugi,Eiko Miyoshi
宍戸梅軒,東野英治郎,Baiken Shishido,Eijiro Tono
,,,
城太郎,飯田健人,Jotaro,Kento Ida
権六,谷晃,Gonroku,Akira Tani
本阿弥光悦,御橋公,Koetsu Honami,Ko Mihashi
老僧日観,高堂国典,Nitsukan Monk,Kuninori Kodo
禿りん弥,近藤圭子,Wataru Hagerin,Keiko Kondo
妙秀尼,滝花久子,Myoshuni,Hisako Takihana
,,,
,田島義文,,Yoshibumi Tajima
,山本廉,,Ren Yamamoto
,西条悦郎,,Etsuro Saijo
,久世龍,,Ryu Kuze
,鉄一郎,,Ichiro Tetsu
,浜田寅彦,,Torahiko Hamada
,稲葉義男,,Yoshio Inaba
,,,
,桜井巨郎,,Giro Sakurai
,松尾文人,,Fuminto Matsuo
,伊藤実,,Minoru Ito
,堤康久,,Yasuhisa Tsutsumi
,岩本弘司,,Koji Iwamoto
,今泉廉,,Ren Imaizumi
,緒方燐作,,Rinsaku Ogata
,牧壮吉,,Sokichi Maki
,田武謙三,,Kenzo Tabu
,,,
監督,稲垣浩,Director,Hiroshi Inagaki
