企画,奥田久司,Planning,Hisashi Okuda
原作,子母沢寛,Original Story,Kan Shimozawa
脚本,伊藤大輔,Screenplay,Daisuke Ito
,,,
撮影,牧浦地志,Photography,Chikashi Makiura
録音,大谷巌,Sound,Iwao Otani
照明,古谷賢次,Lighting,Kenji Furuya
美術,内藤昭,Art,Akira Naito
,,,
音楽,伊福部昭,Music,Akira Ifukube
編集,菅沼完二,Editor,Kanji Suganuma
擬斗,宮内昌平,Action,Shohei Miyauchi
助監督,友枝稔議,Assistant Director,Minoru Tomoeda
製作主任,吉岡徹,Production Manager,Toru Yoshioka
現像,東洋現像所,Developing,Toyo Laboratory
,,,
出演者,,Performers,
,,,
,勝新太郎,,Shintaro Katsu
,,,
,成田三樹夫,,Mikio Narita
,林千鶴,,Yukiko Takabayashi
,岩崎加根子,,Kaneko Iwasaki
,,,
,山本學,,Gaku Yamamoto
,丸井太郎,,Taruo Marui
,五味龍太郎,,Ryutaro Gomi
,戸浦六宏,,Rokko Tora
,須賀不二男,,Fujio Suga
,,,
,北城寿太郎,,Jutaro Hojo
,藤岡琢也,,Takuya Fujioka
,伊達三郎,,Saburo Date
,高見国一,,Kuniichi Takami
,山本一郎,,Ichiro Yuki
,遠藤辰雄,,Tatsuo Endo
,,,
,玉置一恵,,Kazue Tamaki
,堀北幸夫,,Yukio Horikita
,沖時男,,Tokio Oki
,越川一,,Ichi Koshikawa
,小柳圭子,,Keiko Koyanagi
,小林加奈枝,,Kanae Kobayashi
,藤山直子,,Naoko Fujiyama
,,,
,藤川準,,Jun Fujikawa
,岩田正,,Tadashi Iwata
,山岡鋭二郎,,Eijiro Yamaoka
,勝村淳,,Jun Katsumura
,千石泰三,,Yuzo Sengoku
,南正夫,,Masao Minami
,森下昌子,,Masao Morishita
,,,
監督,三隅研次,Director,Kenji Misumi
