製作,田中友幸,Producer,Tomoyuki Tanaka
,田実泰良,,Yasuyoshi Tajitsu
,,,
原作,丘美丈二郎,Original Story,Jojiro Okami
,『スペース・モンス』より,,From “Space Mons”
脚本,関沢新一,Screenplay,Shinichi Sekizawa
,,,
撮影,小泉一,Photography,Hajime Koizumi
美術,北猛夫,Art,Takeo Kita
録音,矢野口文雄,Sound,Fumio Yanoguchi
照明,小島正七,Lighting,Shoshichi Kojima
音楽,伊福部昭,Music,Akira Ifukube
整音,下永尚,Dubbing,Hisashi Shimonaga
,,,
監督助手,佐野健,Assistant Director,Takeshi Sano
編集,藤井良平,Editor,Ryohei Fujii
音響効果,知久長,Sound Effects,Cho Chiku
現像,東京現像所,Developing,Tokyo Laboratory
製作担当者,中村茂,Production Manager,Shigeru Nakamura
,,,
特殊技術,,Special Effects,
撮影,有川貞昌,Photography,Sadamasa Arikawa
,富岡素敬,,Motoyoshi Tomioka
光学撮影,真野田幸雄,Optical Photography,Yukio Manoda
,徳政義行,,Yoshiyuki Tokumasa
美術,渡辺明,Art,Akira Watanabe
照明,岸田九一郎,Lighting,Kuichiro Kishida
合成,向山宏,Synthesis,Hiroshi Mukoyama
監督助手,中野昭慶,Assistant Director,Teruyoshi Nakano
製作担当者,小池忠司,Production Manager,Tadashi Koike
,,,
出演者,,Performers,
,,,
,夏木陽介,,Yosuke Natsuki
,藤山陽子,,Yoko Fujiyama
,,,
,小泉博,,Hiroshi Koizumi
,若林映子,,Akiko Wakabayashi
,中村伸郎,,Nobuo Nakamura
,,,
,河津清三郎,,Seizaburo Kawazu
,ダン・ユマ,,Dan Yuma
,藤田進,,Susumu Fujita
,田崎潤,,Jun Tazaki
,,,
,田島義文,,Yoshibumi Tajima
,天本英世,,Hideyo Amamoto
,桐野洋雄,,Nadao Kirino
,若松明,,Akira Wakamatsu
,加藤春哉,,Haruya Kato
,船戸順,,Jun Funato
,,,
,堤康久,,Yasuhisa Tsutsumi
,岩本弘司,,Koji Iwamoto
,津田光男,,Mitsuo Tsuda
,熊谷卓三,,Takuzo Kumagai
,当銀長太郎,,Chotaro Togin
,広瀬正一,,Shoichi Hirose
,中山豊,,Yutaka Nakayama
,上村幸之,,Yoshiyuki Uemura
,,,
,土屋詩朗,,Shiro Tsuchiya
,鈴川二郎,,Jiro Suzukawa
,坂本晴哉,,Haruya Sakamoto
,渋谷英男,,Hideo Shibuya
,岡豊,,Yutaka Oka
,千葉一郎,,Ichiro Chiba
,広田新二郎,,Shinjiro Hirota
,伊原徳,,Toku Ihara
,岡部正,,Tadashi Okabe
,大前亘,,Wataru Omae
,宇野晃司,,Koji Uno
,,,
特技監督,円谷英二,Special Effects Director,Eiji Tsuburaya
,,,
監督,本多猪四郎,Director,Ishiro Honda
