製作,田中友幸,Producer,Tomoyuki Tanaka
,,,
脚本,関沢新一,Screenplay,Shinichi Sekizawa
,テッド・シャードマン,,Ted Sherdeman
,,,
撮影,完倉泰一,Photography,Taiichi Kankura
美術,北猛夫,Art,Takeo Kita
録音,藤好昌生,Sound,Masao Fujiyoshi
照明,隠田紀一,Lighting,Kiichi Onda
整音,下永尚,Dubbing,Hisashi Shimonaga
,,,
監督助手,谷清次,Assistant Director,Seiji Tani
編集,武田うめ,Editor,Ume Takeda
音響効果,西本定正,Sound Effects,Sadamasa Nishimoto
現像,東京現像所,Developing,Tokyo Laboratory
製作担当者,坂本泰明,Production Manager,Yasuaki Sakamoto
,,,
特殊撮影,,Special Photography,
撮影,富岡素敬,Photography,Motoyoshi Tomioka
,真野田陽一,,Yoichi Manoda
光学撮影,徳政義行,Optical Photography,Yoshiyuki Tokumasa
美術,井上泰行,Art,Yasuyuki Inoue
照明,原文良,Lighting,Funyoshi Hara
操演,中代文雄,Physical Effects,Fumio Nakashiro
合成,向山宏,Synthesis,Hiroshi Mukoyama
監督助手,中野昭慶,Assistant Director,Teruyoshi Nakano
,,,
音楽,伊福部昭,Music,Akira Ifukube
サウンドトラック盤,東芝レコード,Soundtrack Label,Toshiba Records
,,,
出演者,,Performers,
,,,
,宝田明,,Akira Takarada
,,,
,ジョセフ・コットン,,Joseph Cotten
,,,
,シーザー・ロメロ,,Cesar Romero
,,,
,岡田真澄,,Masumi Okada
,リチャード・ジェッケル,,Richard Jaeckel
,,,
,中山麻理,,Mari Nakayama
,パトリシア・メデイナ,,Patricia Medina
,平田昭彦,,Akihiko Hirata
,,,
,中村哲,,Tetsu Nakamura
,大前鈞,,Kin Omae
,リンダ・ヘインズ,,Linda Haynes
,黒木ひかる,,Hikaru Kuroki
,,,
,黒部進,,Susumu Kurobe
,西条康彦,,Yasuhiko Saijo
,中島春雄,,Haruo Nakajima
,関田裕,,Hiroshi Sekita
,,,
声の出演,納谷悟郎,Voices,Goro Naya
,村越伊知郎,,Ichiro Murakoshi
,富田耕生,,Kosei Tomita
,平井道子,,Michiko Hirai
,翠準子,,Junko Midori
,,,
特技監督,円谷英二,Special Effects Director,Eiji Tsuburaya
,,,
監督,本多猪四郎,Director,Ishiro Honda
