製作,田中友幸,Producer,Tomoyuki Tanaka
,,,
脚本,関沢新一,Screenplay,Shinichi Sekizawa
,,,
撮影,小泉一,Photography,Hajime Koizumi
美術,北猛夫,Art,Takeo Kita
録音,矢野口文雄,Sound,Fumio Yanoguchi
照明,小島正七,Lighting,Shoshichi Kojima
音楽,伊福部昭,Music,Akira Ifukube
整音,下永尚,Dubbing,Hisashi Shimonaga
,,,
監督助手,梶田興治,Assistant Director,Koji Kajita
編集,藤井良平,Editor,Ryohei Fujii
音響効果,西本定正,Sound Effects,Sadamasa Nishimoto
現像,東京現像所,Developing,Tokyo Laboratory
製作担当者,森本朴,Production Manager,Paku Morimoto
,,,
特殊技術,,Special Effects,
撮影,有川貞昌,Photography,Sadamasa Arikawa
,富岡素敬,,Motoyoshi Tomioka
光学撮影,真野田幸雄,Optical Photography,Yukio Manoda
,徳政義行,,Yoshiyuki Tokumasa
美術,渡辺明,Art,Akira Watanabe
照明,岸田九一郎,Lighting,Kuichiro Kishida
合成,向山宏,Synthesis,Hiroshi Mukoyama
監督助手,中野昭慶,Assistant Director,Teruyoshi Nakano
製作担当者,小池忠司,Production Manager,Tadashi Koike
,,,
出演者,,Performers,
,,,
,宝田明,,Akira Takarada
,星由里子,,Yuriko Hoshi
,,,
,小泉博,,Hiroshi Koizumi
,藤木悠,,Yu Fujiki
,佐原健二,,Kenji Sahara
ザ・ピーナッツ,伊藤エミ,The Peanuts,Emi Ito
,伊藤ユミ,,Yumi Ito
,,,
,田崎潤,,Jun Tazaki
,田島義文,,Yoshibumi Tajima
,田武謙三,,Kenzo Tabu
,佐田豊,,Yutaka Sada
,谷晃,,Akira Tani
,藤田進,,Susumu Fujita
,,,
,沢村いき雄,,Ikio Sawamura
,山本廉,,Ren Yamamoto
,野村浩三,,Kozo Nomura
,堤康久,,Yasuhisa Tsutsumi
,津田光男,,Mitsuo Tsuda
,大友伸,,Shin Otomo
,大村千吉,,Senkichi Omura
,小杉義男,,Yoshio Kosugi
,,,
,八代美紀,,Miki Yashiro
,岩本弘司,,Koji Iwamoto
,丘照美,,Terumi Oka
,大前亘,,Wataru Omae
,土屋詩朗,,Shiro Tsuchiya
,熊谷卓三,,Takuzo Kumagai
,宇野晃司,,Koji Uno
,中山豊,,Yutaka Nakayama
,古田俊彦,,Toshihiko Furuta
,,,
,澁谷英男,,Hideo Shibuya
,宇留木耕嗣,,Koji Uruki
,越後憲三,,Kenzo Echigo
,権藤幸彦,,Yukihiko Gondo
,佐藤功一,,Koichi Sato
,安芸津広,,Hiroshi Akitsu
,岡部正,,Tadashi Okabe
,坂本晴哉,,Haruya Sakamoto
,久野征四郎,,Seishiro Kuno
,高木弘,,Hiroshi Takagi
,,,
,山田圭介,,Keisuke Yamada
,広田新二郎,,Shinjiro Hirota
,砂川繁視,,Shigemi Sunakawa
,川村郁夫,,Ikuo Kawamura
,緒方燐作,,Rinsaku Ogata
,鈴木治夫,,Haruo Suzuki
,劇団・あすなろ,,Asunaro Theater Company
,手塚勝巳,,Katsumi Tezuka
,中島春雄,,Haruo Nakajima
,,,
特技監督,円谷英二,Special Effects Director,Eiji Tsuburaya 
,,,
監督,本多猪四郎,Director,Ishiro Honda
