製作,田中友幸,Producer,Tomoyuki Tanaka
,,,
脚本,馬淵薫,Screenplay,Kaoru Mabuchi
,本多猪四郎,,Ishiro Honda
,,,
撮影,完倉泰一,Photography,Taiichi Kankura
美術,北猛夫,Art,Takeo Kita
録音,吉沢昭一,Sound,Shoichi Yoshizawa
照明,平野清久,Lighting,Seiji Hirano
音楽,伊福部昭,Music,Akira Ifukube
整音,下永尚,Dubbing,Hisashi Shimonaga
,,,
監督助手,谷清次,Assistant Director,Seiji Tani
編集,藤井良平,Editor,Ryohei Fujii
音響効果,西本定正,Sound Effects,Sadamasa Nishimoto
現像,東京現像所,Developing,Tokyo Laboratory
製作担当者,坂本泰明,Production Manager,Yasuaki Sakamoto
,,,
特殊技術,,Special Effects,
撮影,富岡素敬,Photography,Motoyoshi Tomioka
,真野田陽一,,Yoichi Manoda
美術,井上泰幸,Art,Yasuyuki Inoue
光学撮影,徳政義行,Optical Photography,Yoshiyuki Tokumasa
照明,原文良,Lighting,Funyoshi Hara
合成,向山宏,Synthesis,Hiroshi Mukoyama
操演,中代文雄,Physical Effects,Fumio Nakashiro
監督助手,中野昭慶,Assistant Director,Teruyoshi Nakano
,,,
出演者,,Performers,
,,,
,久保明,,Akira Kubo
,小林夕岐子,,Yukiko Kobayashi
,愛京子,,Kyoko Ai
,,,
,田崎潤,,Jun Tazaki
,土屋嘉男,,Yoshio Tsuchiya
,佐原健二,,Kenji Sahara
,黒部進,,Susumu Kurobe
,伊藤久哉,,Hisaya Ito
,,,
,田島義文,,Yoshibumi Tajima
,桐野洋雄,,Nadao Kirino
,草川直也,,Naoya Kusakawa
,沢村いき雄,,Ikio Sawamura
,大前亘,,Wataru Omae
,鈴木和夫,,Kazuo Suzuki
,佐田豊,,Yutaka Sada
,,,
,当銀長太郎,,Chotaro Togin
,西条康彦,,Yasuhiko Saijo
,久野征四郎,,Seishiro Kuno
,丸山謙一郎,,Kenichi Maruyama
,伊吹徹,,Toru Ibuki
,越後憲,,Ken Echigo
,伊藤実,,Minoru Ito
,渋谷英男,,Hideo Shibuya
,勝部義夫,,Yoshio Katsube
,坪野鎌之,,Kamayuki Tsubono
,,,
,岡部正,,Tadashi Okabe
,坂本晴哉,,Haruya Sakamoto
,緒方燐作,,Rinsaku Ogata
,権藤幸彦,,Yukihiko Gondo
,岡豊,,Yutaka Oka
,宮田芳子,,Yoshiko Miyata
,森今日子,,Kyoko Mari
,佐川亜梨,,Ari Sagawa
,宮内恵子,,Keiko Miyauchi
,高橋厚子,,Atsuko Takahashi
,,,
,中島春雄,,Haruo Nakajima
,関田裕,,Hiroshi Sekita
,新垣輝雄,,Teruo Aragaki
,内海進,,Susumu Utsumi
,小人のマーチャン,,Little Man Machan
,池谷三郎,,Saburo Iketani
,ヘンリー大川,,Henry Okawa
,アンドリュウ・ヒューズ,,Andrew Hughes
,,,
特技監修,円谷英二,Special Effects Supervisor,Eiji Tsuburaya
特技監督,有川貞昌,Special Effects Director,Sadamasa Arikawa
,,,
監督,本多猪四郎,Director,Ishiro Honda
