製作,永田雅一,Producer,Masaichi Nagata
,,,
企画,中代富士男,Planning,Fujio Nakadai
原案,中島源太郎,Story,Kentaro Nakajima
脚本,小国英雄,Screenplay,Hideo Oguni
,,,
撮影,渡辺公夫,Photography,Kimio Watanabe
録音,西井憲一,Sound,Kenichi Nishii
照明,久保田行一,Lighting,Koichi Kubota
美術,間野重雄,Art,Shigeo Kanno
,,,
色彩指導,岡本太郎,Color Advisor,Taro Okamoto
色彩技術,渡边徹,Color Technique,Toru Watanabe
特殊技術,的場徹,Special Technique,Toru Matoba
メークアップ,牧野正雄,Makeup,Masao Makino
,,,
装置,石崎喜一,Apparatus,Kiichi Ishizaki
装飾,大野幸雄,Decoration,Yukio Ono
小道具,永川勇吉,Props,Yukichi Nagakawa
背景,中村桂太郎,Background,Keitaro Nakamura
園芸,吉田年,Gardening,Toshi Yoshida
工作,田村誠,Work,Makoto Tamura
電飾,金谷省吾,Electric Decoration,Shogo Kanaya
,,,
結髮,篠崎卯女賀,Hairdressing,Umega Shinozaki
衣裳,東郷𠻸男,Costume,Tsugio Togo
音響効果,花岡勝次郎,Sound Effects,Katsujiro Hanaoka
移動,諸星勇,Choreography,Yu Morohoshi
スチール,宫崎忠男,Stills,Tadao Miyazaki
俳優事務,中山照子,Actor Affairs,Akiko Nakayama
記録,原益子,Archiving,Yoshiko Hara
,,,
助監督,菅野恒三,Assistant Director,Kozo Kanno
撮影助手,村井博,Photography Assistant,Hiroto Murai
録音助手,奥村幸雄,Sound Assistant,Yukio Okumura
照明助手,藤野慎一,Lighting Assistant,Shinichi Fujino
美術助手,山口𤋮,Art Assistant,Hiro Yamaguchi
進行係,川勝昭信,Progressor,Akinobu Kawakachi
,,,
音楽,大森盛太郎,Music,Seitaro Omori
演出補,中村倍也,Supplement Staging,Shinya Nakamura
編集,鈴木東陽,Editor,Toyo Suzuki
製作主任,阪根慶一,Production Manager,Koichi Sakane
現像,束洋現像所,Film Developing,Toyo Laboratory
,,,
出演者,,Performers,
,,,
,川崎敬三,,Keizo Kawasaki
,苅田とよみ,,Toyomi Karita
,八木沢敏,,Toshi Yagisawa
,山形勲,,Isao Yamagata
,南部彰三,,Shozo Nanbu
,見明凡太朗,,Bontaro Miake
,,,
,永井ミエ子,,Mieko Nagai
,平井岐代子,,Kiyoko Hirai
,岡村文子,,Fumiko Okamura
,小原利之,,Toshiyuki Obara
,斎藤紫香,,Shiko Saito
,フランク・熊谷,,Frank Kumagaya
,,,
,河原侃二,,Kenji Kawara
,夏木章,,Sho Natsuki
,津田駿二,,Shunji Tsuda
,原田該,,Gen Harada
,渡辺鉄彌,,Izaya Watanabe
,杉田康,,Yasushi Sugita
,,,
,早川雄二,,Yuzo Hayakawa
,谷謙二,,Kenji Tani
,狩野新,,Shin Kono
,志保京助,,Kyosuke Shiho
,島照彦,,Teruhiko Shima
,泉靜治,,Kenji Izumi
,,,
,細川啓一,,Keiichi Hosokawa
,飛田喜佐夫,,Kisao Tobita
,髙田宗彦,,Munehiko Takada
,目黑幸子,,Sohiko Koda
,花村泰子,,Yasuko Hanamura
,樋口峰子,,Mineko Higuchi
,奥田宗広と楽団ブルー・スカイ,,Munehiro Okuda and the Blue Sky Orchestra
,,,
監督,島耕二,Director,Koji Shima
