製作,田中友幸,Producer,Tomoyuki Tanaka
,,,
原案,星新一,Story,Shinichi Hoshi
,福島正実,,Masami Fukushima
,ウイリアム・ホープ・ホジスン『闇の声』より,,From William Hope Hodgson’s “The Voice in the Night”
脚本,木村武,Screenplay,Takeshi Kimura
,,,
撮影,小泉一,Photography,Hajime Koizumi
美術,育野重一,Art,Shigekazu Ikuno
録音,矢野口文雄,Sound,Fumio Yanoguchi
照明,小島正七,Lighting,Shoshichi Kojima
音楽,別宮貞雄,Music,Sadao Bekku
整音,下永尚,Dubbing,Hisashi Shimonaga
,,,
監督助手,梶田興治,Assistant Director,Koji Kajita
編集,兼子玲子,Editor,Reiko Kaneko
音響効果,金山実,Sound Effects,Minoru Kanayama
現像,東京現像所,Developing,Tokyo Laboratory
製作担当者,中村茂,Production Manager,Shigeru Nakamura
,,,
特殊技術,,Special Effects,
撮影,有川貞昌,Photography,Sadamasa Arikawa
,富岡素敬,,Motoyoshi Tomioka
光学撮影,真野田幸雄,Optical Photography,Yukio Manoda
,徳政義行,,Yoshiyuki Tokumasa
美術,渡辺明,Art,Akira Watanabe
照明,岸田九一郎,Lighting,Kuichiro Kishida
合成,向山宏,Synthesis,Hiroshi Mukoyama
監督助手,中野昭慶,Assistant Director,Teruyoshi Nakano
製作担当者,小池忠司,Production Manager,Tadashi Koike
,,,
出演者,,Performers,
,,,
,久保明,,Akira Kubo
,水野久美,,Kumi Mizuno
,,,
,小泉博,,Hiroshi Koizumi
,佐原健二,,Kenji Sahara
,太刀川寛,,Hiroshi Tachikawa
,,,
,土屋嘉男,,Yoshio Tsuchiya
,八代美紀,,Miki Yashiro
,天本英世,,Hideyo Amamoto
,,,
,熊谷二良,,Jiro Kumagai
,草間璋夫,,Akio Kusama
,岡豊,,Yutaka Oka
,山田圭介,,Keisuke Yamada
,日方一夫,,Kazuo Hinata
,手塚勝巳,,Katsumi Tezuka
,,,
,中島春雄,,Haruo Nakajima
,大川時生,,Tokio Okawa
,宇留木耕嗣,,Koji Uruki
,篠原正記,,Masaki Shinohara
,鹿島邦義,,Kuroyoshi Kashima
,伊原徳,,Toku Ihara
,林光子,,Mitsuko Hayashi
,一万慈鶴恵,,Tazue Ichimanji
,,,
特技監督,円谷英二,Special Effects Director,Eiji Tsuburaya 
,,,
監督,本多猪四郎,Director,Ishiro Honda
