企画,久保寺生郎,Planning,Ikuo Kubodera
原作,子母沢寛,Original Story,Kan Shimozawa
脚本,犬塚稔,Screenplay,Minoru Inuzuka
,,,
撮影,本多省三,Photography,Shozo Honda
録音,長岡栄,Sound,Sakae Nagaoka
照明,美間博,Lighting,Hiroshi Mima
美術,西岡善信,Art,Yoshinobu Nishioka
音楽,伊福部昭,Music,Akira Ifukube
,,,
編集,菅沼完二,Editor,Kanji Suganuma
装置,林米松,Apparatus,Yonematsu Hayashi
擬斗,宮内昌平,Action,Shohei Miyauchi
助監督,西沢鋭治,Assistant Director,Eiji Nishizawa
音響効果,倉嶋暢,Sound Effects,Manabu Kurashima
製作主任,村上忠男,Production Manager,Tadao Murakami
現像,東洋現像所,Developing,Toyo Laboratory
,,,
出演者,,Performers,
,,,
,勝新太郎,,Shintaro Katsu
,,,
,藤村志保,,Shiho Fujimura
,島田竜三,,Ryuzo Shimada
,丹羽又三郎,,Matasaburo Niwa
,中村豊,,Yutaka Nakamura
,藤原礼子,,Reiko Fujiwara
,,,
,沢村宗之助,,Sonosuke Sawamura
,水原浩一,,Koichi Mizuhara
,杉山昌三九,,Shosaku Sugiyama
,寺島貢,,Takashi Terashima
,東良之助,,Toshiaki Higashi
,寺島雄作,,Yusaku Terashima
,吉田義夫,,Yoshio Yoshida
,,,
,沖時男,,Tokio Oki
,堀北幸夫,,Yukio Horikita
,木村玄,,Gen Kimura
,越川一,,Ichi Koshikawa
,細谷新吾,,Shingo Hosoya
,千石泰三,,Yuzo Sengoku
,大林一夫,,Kazuo Obayashi
,黒木英男,,Hideo Kuroki
,,,
,岩田正,,Tadashi Iwata
,志賀明,,Akira Shiga
,愛原光一,,Koichi Aihara
,小中島亮,,Ryo Kohashima
,大杉潤,,Jun Osugi
,西岡弘善,,Hiroyoshi Nishioka
,藤春保,,Kei Fujiharu
,竹谷俊彦,,Toshihiko Takeya
,三木正八郎,,Masahachiro Miki
,,,
,伊藤祐則,,Masanori Ito
,前川広三,,Kozo Maekawa
,上原寛二,,Kenji Uehara
,森宏之,,Hiroyuki Mori
,南正夫,,Masao Minami
,徳田竹司,,Takeshi Tokuda
,森内一夫,,Kazuo Moriuchi
,有村淳,,Jun Arimura
,小柳圭子,,Keiko Koyanagi
,,,
監督,安田公義,Director,Kimiyoshi Yasuda
