原作,子母沢寛,Original Story,Kan Shimozawa
脚本,犬塚稔,Screenplay,Minoru Inuzuka
,,,
撮影,森田富士郎,Photography,Fujio Morita
録音,海原幸夫,Sound,Yukio Kaibara
照明,美間博,Lighting,Hiroshi Mima
美術,西岡善信,Art,Yoshinobu Nishioka
音楽,伊福部昭,Music,Akira Ifukube
,,,
編集,山田弘,Editor,Hiroshi Yamada
装置,吉見光男,Apparatus,Mitsuo Yoshimi
擬斗,楠本栄一,Action,Eiichi Kusumoto
音響効果,倉嶋暢,Sound Effects,Manabu Kurashima
助監督,中西忠三,Assistant Director,Chuzo Nakanishi
製作主任,小沢宏,Production Manager,Hiroshi Ozawa
現像,東洋現像所,Developing,Toyo Laboratory
,,,
出演者,,Performers,
,,,
,勝新太郎,,Shintaro Katsu
,,,
,坪内ミキ子,,Mikiko Tsubouchi
,三木のり平,,Norihei Miki
,,,
,加藤武,,Takeshi Kato
,春本富士夫,,Fujio Harumoto
,倉田マユミ,,Mayumi Kurata
,小林幸子,,Sachiko Kobayashi
,平参平,,Shinpaira Taira
,伊達三郎,,Saburo Date
,沢村宗之助,,Sonosuke Sawamura
,,,
,藤山浩二,,Koji Fujiyama
,寺島雄作,,Yusaku Terashima
,嵐三右ヱ門,,Tamiemon Arashi
,木村玄,,Gen Kimura
,堀北幸夫,,Yukio Horikita
,西岡弘善,,Hiroyoshi Nishioka
,千石泰三,,Yuzo Sengoku
,伊井美貴,,Miki Ii
,,,
,森田健二,,Kenji Morita
,森内一夫,,Kazuo Moriuchi
,藤春保,,Kei Fujiharu
,土本正文,,Masafumi Tsuchimoto
,美山晋八,,Shinpachi Miyama
,中野智永子,,Chieko Nakano
,三木本賀代,,Kayo Mikimoto
,美原沙知子,,Sachiko Mihara
,滝のぼる,,Noboru Taki
,,,
監督,井上昭,Director,Akira Inoue
