製作,田中友幸,Producer,Tomoyuki Tanaka
,,,
原作,香山滋,Original Story,Shigeru Kayama
脚本,村田武雄,Screenplay,Takeo Murata
,日高繁明,,Shigeaki Hidaka
,,,
撮影,遠藤精一,Photography,Seiichi Endo
美術監督,北猛夫,Art Director,Takeo Kita
美術,安倍輝明,Art,Teruaki Abe
録音,宮崎正信,Sound,Masanobu Miyazaki
照明,大沼正喜,Lighting,Masaki Onuma
,,,
音楽,佐藤勝,Music,Masaru Sato
音響効果,三縄一郎,Sound Effects,Ichiro Minawa
特殊技術,渡辺明,Special Effects,Akira Watanabe
,向山宏,,Hiroshi Mukoyama
,城田正雄,,Masao Shirota
,,,
監督助手,岩城英二,Assistant Director,Eiji Iwashiro
編集,平一二,Editing,Kazuji Taira
現像,東宝現像所,Developing,Toho Laboratory
製作担当者,馬場和夫,Production Manager,Kazuo Baba
,,,
出演者,,Performers,
,,,
,小泉博,,Hiroshi Koizumi
,若山セツ子,,Setsuko Wakayama
,千秋実,,Minoru Chiaki
,志村喬,,Takashi Shimura
,,,
,清水将夫,,Masao Shimizu
,恩田清二郎,,Seijiro Onda
,沢村宗之助,,Sonosuke Sawamura
,土屋嘉男,,Yoshio Tsuchiya
,木匠マユリ,,Mayuri Mokusho
,,,
,山田巳之助,,Minosuke Yamada
,笠間雪雄,,Yukio Kasama
,大村千吉,,Senkichi Omura
,山本廉,,Ren Yamamoto
,大友伸,,Shin Otomo
,土屋博敏,,Shiro Tsuchiya
,笈川武夫,,Takeo Oikawa
,,,
,牧壮吉,,Sokichi Maki
,広瀬正一,,Shoichi Hirose
,吉田新,,Shin Yoshida
,夏木順平,,Junpei Natsuki
,三田照子,,Teruko Mita
,手塚勝巳,,Katsumi Tezuka
,中島春雄,,Haruo Nakajima
,星野みよ子 （コロムビア）,,Miyoko Hoshino (Columbia)
,,,
特技監督,圓谷英二,Special Effects Director,Eiji Tsuburaya
,,,
監督,小田基義,Director,Motoyoshi Oda
