製作,永田秀雅,Producer,Hidemasa Nagata
,,,
企画,斎藤米二郎,Planning,Yonejiro Saito
脚本,高橋二三,Screenplay,Nisan Takahashi
,,,
撮影,上原明,Photography,Akira Uehara
特殊撮影,藤井和文,Special Photogrpahy,Kazufumi Fujii
録音,奥山秀夫,Sound,Hideo Okuyama
照明,久保江平八,Lighting,Heihachi Kuboe
美術,矢野友久,Art,Tomohisa Yano
,,,
音楽,菊池俊輔,Music,Shunsuke Kikuchi
主題歌,「ガメラマーチ」,Theme Song,"""Gamera March"""
歌,大映児童合唱団,Performer,Daiei Children's Choir
作詞,永田秀雄,Lyrics,Hidemasa Nagata
作編曲,広瀬健次郎,Arrangement,Kenjiro Hirose
,大映レコード,,Daiei Records
,,,
特殊撮影スタッフ,,Special Photography Staff,
助監督,阿部志馬,Assistant Director,Shiba Abe
美術,石塚章隆,Art,Akita Ishizuka
合成,金子友三,Synthesis,Yuzo Kaneko
照明,藤野慎一,Lighting,Shinichi Fujino
操演,恵利川秀雄,Physical Effects,Hideo Erikawa
音響効果,小島明,Sound Effects,Akira Kojima
,,,
編集,宮崎善行,Editor,Yoshiyuki Miyazaki
助監督,明瀬正美,Assistant Director,Masami Akise
製作主任,真鍋義彦,Production Manager,Yoshihiko Manabe
現像,東京現像所,Developing,Tokyo Laboratory
協力,鴨川シーワールド,Cooperation,Kamogawa Sea World
,,,
出演者,,Performers,
,,,
,八並映子,,Eiko Yanami
,笠原玲子,,Reiko Kasahara
,坪内ミキ子,,Mikiko Tsubouchi
,,,
,藤山浩二,,Koji Fujiyama
,佐伯勇,,Isamu Saeki
,三夏伸,,Shin Minatsu
,,,
,坂上也寸志,,Yasushi Sakagami
,アーリン・ゾーナ,,Arlene Zoellner
,グロリア・ゾーナ,,Gloria Zoellner
,,,
,吉田義夫,,Yoshio Yoshida
,夏木章,,Sho Natsuki
,九段吾郎,,Goro Kudan
,喜多大八,,Daihachi Kita
,井上大吾,,Daigo Inoue
,,,
,中原健,,Ken Nakahara
,関幸四郎,,Koshiro Seki
,稲妻竜二,,Ryuji Inazuma
,志保京助,,Kyosuke Shiho
,原大作,,Daisaku Hara
,小珠千慧,,Chinjo Ogura
,和光ミキ,,Miki Wako
,山名佐知江,,Sachie Yamana
,,,
監督,湯浅憲明,Director,Noriaki Yuasa
