製作,田中友幸,Producer,Tomoyuki Tanaka
,,,
原作,丘美丈二郎,Original Story,Jojiro Okami
脚本,木村武,Screenplay,Takeshi Kimura
,,,
撮影,小泉一,Photography,Hajime Koizumi
美術,北猛夫,Art,Takeo Kita
,安倍輝明,,Teruaki Abe
録音,伴利也,Sound,Toshiya Ban
照明,高島利雄,Lighting,Toshio Takashima
音楽,石井歓,Music,Kan Ishii
整音,下永尚,Dubbing,Hisashi Shimonaga
,,,
監督助手,梶田興治,Assistant Director,Koji Kajita
編集,兼子玲子,Editor,Reiko Kaneko
現像,東京現像所,Developing,Tokyo Laboratory
製作担当者,坂本泰明,Production Manager,Yasuaki Sakamoto
,,,
特殊技術,,Special Effects,
撮影,有川貞昌,Photography,Sadamasa Arikawa
,富岡素敬,,Motoyoshi Tomioka
光学撮影,幸隆生,Optical Photography,Takao Miyuki
,真野田幸雄,,Yukio Manoda
美術,渡辺明,Art,Akira Watanabe
照明,岸田九一郎,Lighting,Kuichiro Kishida
合成,向山宏,Synthesis,Hiroshi Mukoyama
製作担当者,成田貫,Production Manager,Nuki Narita
,,,
出演者,,Performers,
,,,
,池部良,,Ryo Ikebe
,白川由美,,Yumi Shirakawa
,,,
,久保明,,Akira Kubo
,水野久美,,Kumi Mizuno
,太刀川寛,,Hiroshi Tachikawa
,,,
,平田昭彦,,Akihiko Hirata
,佐原健二,,Kenji Sahara
,田崎潤,,Jun Tazaki
,上原謙,,Ken Uehara
,志村喬,,Takashi Shimura
,,,
,河津清三郎,,Seizaburo Kawazu
,三島耕,,Ko Mishima
,堺左千夫,,Sachio Sakai
,佐々木孝丸,,Takamaru Sasaki
,西村晃,,Ko Nishimura
,小沢栄太郎,,Eitaro Ozawa
,,,
,二瓶正典,,Masanori Nihei
,野村浩三,,Kozo Nomura
,佐多契子,,Keiko Sata
,天本英世,,Hideyo Amamoto
,ジョージ・ファーネス,,George Furness
,ロス・ベネット,,Ross Bennett
,向井淳一郎,,Junichiro Mukai
,桐野洋雄,,Nadao Kirino
,坂下文夫,,Fumio Sakashita
,沢村いき雄,,Ikio Sawamura
,,,
,古田俊彦,,Toshihiko Furuta
,上村幸之,,Yoshiyuki Uemura
,緒方燐作,,Rinsaku Ogata
,佐藤功一,,Koichi Sato
,河辺昌義,,Masayoshi Kawabe
,松原靖,,Yasushi Matsubara
,岡部正,,Tadashi Okabe
,宇野晃司,,Koji Uno
,権藤幸彦,,Yukihiko Gondo
,丸山謙一郎,,Kenichiro Maruyama
,西条康彦,,Yasuhiko Saijo
,手塚勝巳,,Katsumi Tezuka
,,,
,山田彰,,Akira Yamada
,高木弘,,Hiroshi Takagi
,鈴木孝次,,Toshitsugu Suzuki
,大前亘,,Wataru Omae
,庄司一郎,,Ichiro Shoji
,荒木保夫,,Yasuo Araki
,三井紳平,,Kenpei Mitsui
,今井和雄,,Kazuo Imai
,由起卓也,,Takuya Yuki
,石川浩二,,Koji Ishikawa
,鈴木友輔,,Yusuke Suzuki
,熊谷二良,,Jiro Kumagai
,,,
特技監督,円谷英二,Special Effects Director,Eiji Tsuburaya 
,,,
監督,本多猪四郎,Director,Ishiro Honda
