製作,田中文雄,Producer,Fumio Tanaka
,,,
脚本,小川英,Screenplay,Ei Ogawa
,武末勝,,Sho Takematsu
,,,
撮影,原一民,Photography,Kazumi Hara
美術,薩谷和夫,Art,Kazuo Satsuya
録音,矢野口文雄,Sound,Fumio Yanoguchi
照明,森本正邦,Lighting,Masakuni Morimoto
,,,
音楽,真鍋理一郎,Music,Riichiro Manabe
編集,池田美千子,Editor,Michiko Ikeda
合成,三瓶一信,Synthesis,Kazunobu Sanpei
スチール,石月美徳,Stills,Yoshinori Ishizuki
,,,
監督助手,小栗康平,Assistant Director,Kohei Oguri
整音,東宝録音センター,Dubbing,Toho Sound Center
効果,東宝効果集団,Effects,Toho Effects Group
現像,東京現像所,Developing,Tokyo Laboratory
製作担当者,広川恭,Production Manager,Kyo Hirokawa
,,,
出演者,,Performers,
,,,
,黒沢年男,,Toshio Kurosawa
,,,
,田中邦衛,,Kunie Tanaka
,佐々木勝彦,,Katsuhiko Sasaki
,岸田森,,Shin Kishida
,,,
,望月真理子,,Mariko Mochizuki
,太田美緒,,Mio Ota
,桂木美加,,Mika Katsuragi
,荒牧啓子,,Keiko Aramaki
,,,
,麻里ともえ,,Tomoe Mari
,片山滉,,Ko Katayama
,鈴木治夫,,Haruo Suzuki
,二見忠男,,Tadao Futami
,小栗一也,,Kazuya Oguri
,,,
,細井利雄,,Toshio Hosoi
,吉田静司,,Seiji Yoshida
,竹井みどり,,Midori Takei
,保坂六巴,,Rokki Hosaka
,吉田真理子,,Mayako Yoshida
,ロジャー・ブリーン,,Roger Breen
擬斗,宇仁貫三,Action,Kanzo Uni
,,,
,伊藤雄之助,,Yunosuke Ito
,,,
監督,山本迪夫,Director,Michio Yamamoto
