企画,扇沢要,Planning,Kaname Ogisawa
原作,永松健夫,Original Story,Takeo Nagamatsu
脚本,高久進,Screenplay,Susumu Takaku
監修,加太こうじ,Supervision,Koji Kata
,,,
撮影,山沢義一,Photography,Yoshikazu Yamasawa
録音,内田陽造,Sound,Yosuke Uchida
照明,銀屋謙蔵,Lighting,Kenzo Ginya
美術,江野慎一,Art,Shinichi Endo
音楽,菊池俊輔,Music,Shunsuke Kikuchi
,,,
編集,祖田冨美夫,Editor,Fumio Anda
特殊撮影,上村貞夫,Special Photography,Sadao Uemura
助監督,山口和彦,Assistant Director,Kazuhiko Yamaguchi
進行主任,久野義雄,Production Manager,Iwao Dan
現像,東映化学工業株式会社,Developing,"Toei Chemical Industry Co., Ltd."
,,,
主題歌,「黄金バット」,Theme Song,“Golden Bat”
作詞,第一動画,Lyrics,Daichi Doga
作曲,田中正史,Composition,Masabumi Tanaka
歌,ボーカル・ショップ,Performer,Vocal Shop
黄金バットの声,小林修,Voice of Golden Bat,Osamu Kobayashi
,朝日ソノラマ,,Asahi Sonorama
協力,第一動画株式会社,Cooperation,"Daichi Doga Co., Ltd."
,,,
出演者,,Performers,
,,,
,ミスター黄金バット,,Mister Golden Bat
,,,
,千葉真一,,Shinichi Chiba
,,,
,中田博久,,Hirohisa Nakata
,高見エミリー,,Emily Hatoyama
,山川ワタル,,Wataru Yamakawa
,,,
,佐藤汎彦,,Tadahiko Sato
,関山耕司,,Koji Sekiyama
,沼田曜一,,Yoichi Numata
,国景子,,Keiko Kuni
,,,
,北川恵一,,Keiichi Kitagawa
,片山滉,,Akira Katayama
,アンドレ・ヒューズ,,Andrew Hughes
,岡野耕作,,Kosaku Okano
,,,
,菅原壮男,,Masao Sugawara
,山田甲一,,Koichi Yamada
,亀山達也,,Tatsuya Kameyama
,松平峰夫,,Mineo Matsudaira
,鈴木義征,,Yoshiyuki Suzuki
,佐川二郎,,Jiro Sagawa
,萩原正勝,,Masakatsu Hagiwara
,都健二,,Kenji Miyako
,,,
,青島幸男,,Yukio Aoshima
,筑波久子 ,,Hisako Tsukuba
,,,
監督,佐藤肇,Director,Hajime Sato
