製作,勝新太郎,Producer,Shintaro Katsu
,西岡弘善,,Hiroyoshi Nishioka
,,,
企画,久保寺生郎,Planning,Ikuo Kubodera
原作,子母沢寛,Original Story,Kan Shimozawa
脚本,服部佳子,Screenplay,Yoshiko Hattori
,,,
撮影,牧浦地志,Photography,Chikashi Makiura
録音,大角正夫,Sound,Masao Osumi
照明,斉藤省三,Lighting,Shozo Saito
美術,太田誠一,Art,Seiichi Ota
音楽,伊福部昭,Music,Akira Ifukube
,,,
編集,林義治,Editor,Yoshiharu Hayashi
擬斗,楠本栄一,Action,Eiichi Kusumoto
音響効果,倉嶋暢,Sound Effects,Manabu Kurashima
助監督,小林正雄,Assistant Director,Masao Kobayashi
製作主任,足立源一郎,Production Manager,Genichiro Adachi
,,,
装置,馬場正男,Apparatus,Masao Baba
装飾,清水与三吉,Decoration,Shimizu Izumi
衣裳,伊藤ナツ,Costume,Natsu Ito
美粧,湯本秀夫,Beauty,Hideo Yumoto
結髪,石井エミ,Hair Dressing,Emi Ishii
,,,
色彩技術,小池清茂,Color Technique,Kiyoshige Koike
記録,山本礼子,Archiving,Reiko Yamamoto
演技事務,服部正一,Actor Affairs,Shoichi Hattori
スチール,大谷栄一,Stills,Eiichi Otani
宣伝,中村努,Marketing,Tsutomu Nakamura
現像,東洋現像所,Developing,Toyo Laboratory
,,,
出演者,,Performers,
,,,
,勝新太郎,,Shintaro Katsu
,,,
,十朱幸代,,Yukiyo Toake
,,,
,志村喬,,Takashi Shimura
,佐藤慶,,Kei Sato
,,,
,土屋嘉男,,Yoshio Tsuchiya
,遠藤辰雄,,Tatsuo Endo
,岸部シロー,,Shiro Kishibe
,,,
,横山リエ,,Rie Yokoyama
,高森玄,,Gen Takamori
,朝比奈尚行,,Yoshiyuki Asahina
,酒井修,,Osamu Sakai
,,,
,田武謙三,,Kenzo Tabu
,寺島雄作,,Yusaku Terashima
,石井くに子,,Kuniko Ishii
,浜田雄史,,Hideo Hamada
,浮田左武郎,,Shojiro Ukita
,,,
,九段吾郎,,Goro Kudan
,沖時男,,Tokio Oki
,薮内武司,,Takeshi Yabuchi
,武田てい子,,Teiko Takeda
,太田優子,,Yuko Ota
,菊野昌代士,,Masanobu Kikuno
,,,
,宮下有三,,Yuzo Miyashita
,島田正六,,Shoroku Shimada
,神田絋司,,Koji Kanda
,渡辺満男,,Mitsuo Watanabe
,藤春保,,Kei Fujiharu
,福井隆次,,Ryuji Fukui
,山村嵯都子,,Sachiko Yamamura
,松岡信江,,Nobue Matsuoka
,,,
,岡田英次,,Eiji Okada
,,,
監督,安田公義,Director,Kimiyoshi Yasuda
