製作,田中友幸,Producer,Tomoyuki Tanaka
,菊島隆三,,Ryuzo Kikushima
,,,
脚本,菊島隆三,Screenplay,Ryuzo Kikushima
,黒澤明,,Akira Kurosawa
,,,
撮影,宮川一夫 (大映),Photography,Kazuo Miyagawa (Daiei)
美術,村木与四郎,Art,Yoshiro Muraki
録音,三上長七郎,Sound,Choshichiro Mikami
,下永尚,,Hisashi Shimonaga
照明,石井長四郎,Lighting,Choshiro Ishii
音楽,佐藤勝,Music,Masaru Sato
,,,
監督助手,森谷司郎,Assistant Director,Shiro Moritani
剣技指導,杉野嘉男,Sword Instruction,Yoshio Sugino
現像,キヌタ・ラボラトリー,Developing,Kinuta Laboratory
製作担当者,根津博,Production Manager,Hiroshi Nezu
,,,
出演者,,Performers,
,,,
,三船敏郎,,Toshiro Mifune
,,,
,仲代達矢,,Tatsuya Nakadai
,司葉子,,Yoko Tsukasa
,山田五十鈴,,Isuzu Yamada
,,,
,加東大介,,Daisuke Kato
,河津清三郎,,Seizaburo Kawazu
,志村喬,,Takashi Shimura
,太刀川寛,,Hiroshi Tachikawa
,夏木陽介,,Yosuke Natsuki
,,,
,東野英治郎,,Eijiro Tono
,藤原釜足,,Kamatari Fujiwara
,沢村いき雄,,Ikio Sawamura
,渡辺篤,,Atsushi Watanabe
,藤田進,,Susumu Fujita
,山茶花究,,Kyu Sazanka
,,,
,西村晃,,Ko Nishimura
,加藤武,,Takeshi Kato
,中谷一郎,,Ichiro Nakatani
,堺左千夫,,Sachio Sakai
,谷晃,,Akira Tani
,羅生門綱五郎,,Tsunagoro Rashomon
,土屋嘉男,,Yoshio Tsuchiya
,清水元,,Gen Shimizu
,ジェリー藤尾,,Jerry Fujio
,,,
,佐田豊,,Yutaka Sada
,大友伸,,Shin Otomo
,広瀬正一,,Shoichi Hirose
,天本英世,,Hideyo Amamoto
,大木正司,,Shoji Oki
,大橋史典,,Fuminori Ohashi
,寄山弘,,Hiroshi Kiyama
,大村千吉,,Senkichi Omura
,本間文子,,Noriko Honma
,,,
,西条竜介,,Ryosuke Saijo
,草川直也,,Naoya Kusakawa
,桐野洋雄,,Nadao Kirino
,津田光男,,Mitsuo Tsuda
,高木新平,,Shinpei Takagi
,大友純,,Jun Otomo
,草間璋夫,,Akio Kusama
,小川安三,,Yasuzo Ogawa
,高木弘,,Hiroshi Takagi
,向井淳一郎,,Junichiro Mukai
,熊谷二良,,Jiro Kumagai
,,,
,千葉一郎,,Ichiro Chiba
,坂本晴哉,,Haruya Sakamoto
,緒方燐作,,Rinsaku Ogata
,小串文夫,,Fumio Kogushi
,照井洋子,,Yoko Terui
,峯丘ひろみ,,Hiromi Mineoka
,河美智子,,Michiko Kawa
剣技,久世竜,Sword Instruction,Ryu Kuze
振付,金須宏,Choreography,Hiroshi Kanse
,,,
監督,黒澤明,Director,Akira Kurosawa
