企画,久保寺生郎,Planning,Ikuo Kubodera
原作,子母沢寛,Original Story,Kan Shimozawa
脚本,犬塚稔,Screenplay,Minoru Inuzuka
,梅林貴久夫,,Kikuo Umebayashi
,,,
撮影,牧浦地志,Photography,Chikashi Makiura
録音,大角正夫,Sound,Masao Osumi
照明,古谷賢次,Lighting,Kenji Furuya
美術,太田誠一,Art,Seiichi Ota
音楽,伊福部昭,Music,Akira Ifukube
,,,
編集,山田弘,Editor,Hiroshi Yamada
196,山本佐一郎,Apparatus,Saichiro Yamamoto
擬斗,宮内昌平,Action,Shohei Miyauchi
音響効果,倉嶋暢,Sound Effects,Manabu Kurashima
助監督,土井茂,Assistant Director,Shigeru Doi
製作主任,吉岡徹,Production Manager,Toru Yoshioka
現像,東洋現像所,Developing,Toyo Laboratory
,,,
出演者,,Performers,
,,,
,勝新太郎,,Shintaro Katsu
,,,
,坪内ミキ子,,Mikiko Tsubouchi
,近藤美恵子,,Mieko Kondo
,真城千都世,,Chitose Maki
,河津清三郎,,Seizaburo Kawazu
,,,
,丹羽又三郎,,Matasaburo Niwa
,中村豊,,Yutaka Nakamura
,須賀不二男,,Fujio Suga
,遠藤辰雄,,Tatsuo Endo
,舟木洋一,,Yoichi Funaki
,水原浩一,,Koichi Mizuhara
,杉山昌三九,,Shosaku Sugiyama
,,,
,伊達三郎,,Saburo Date
,南條新太郎,,Shintaro Nanjo
,武智豊子,,Toyoko Takechi
,南部彰三,,Shozo Nanbu
,東良之助,,Toshiaki Higashi
,尾上栄五郎,,Eigoro Onoe
,高倉一郎,,Ichiro Takura
,玉置一恵,,Kazue Tamaki
,,,
,浜田雄史,,Hideo Hamada
,沖時男,,Tokio Oki
,春日清,,Kiyoshi Kasuga
,細谷新吾,,Shingo Hosoya
,藤川準,,Jun Fujikawa
,福井隆次,,Ryuji Fukui
,志賀明,,Akira Shiga
,木村玄,,Gen Kimura
,高森チズ子,,Chizuko Takamori
,,,
監督,田中徳三,Director,Tokuzo Tanaka
