製作,箕浦甚吾,Producer,Shogo Minoura
企画,本木荘二郎,Planning,Sojiro Motoki
,,,
原作,芥川龍之介,Original Story,Ryunosuke Akutagawa
脚本,黒澤明,Screenplay,Akira Kurosawa
,橋本忍,,Shinobu Hashimoto
,,,
撮影,宮川一夫,Photography,Kazuo Miyagawa
録音,大谷巌,Sound,Iwao Otani
美術,松山崇,Art,Tadashi Matsuyama
音楽,早坂文雄,Music,Fumio Hayasaka
,,,
照明,岡本健一,Lighting,Kenichi Okamoto
編集,西田重雄,Editor,Shigeo Nishida
装置,山本䢴一郎,Apparatus,Yuichiro Yamamoto
製作主任,小林利勝,Production Manager,Toshikatsu Kobayashi
,,,
助監督,加藤泰,Assistant Director,Tai Kato
撮影助手,本田平三,Photography Assistant,Heizo Honda
録音助手,林土太郎,Sound Assistant,Tsuchitaro Hayashi
照明助手,中岡源,Lighting Assistant,Gen Nakaoka
美術助手,右田誠一,Art Assistant,Seiichi Okada
記録,野上照代,Archiving,Teruyo Nogami
演技事務,中村元次郎,Actor Affairs,Motojiro Nakamura
進行,竹内次郎,Progress,Jiro Takeuchi
,,,
背景,太田多三郎,Background,Tasaburo Ota
装飾,松本春造,Decoration,Haruzo Matsumoto
美粧,明石悦夫,Beauty,Etsuo Akashi
結髪,花井りつ,Hair Dressing,Ritsu Hanai
衣索,大畠卯一,Clothing,Uichi Ohata
スチール,浅田延之助,Stills,Masayuki Asada
効果,山根正一,Effects,Shoichi Yamane
擬闘,宮内昌平,Fighting Choreography,Shohei Miyauchi
,,,
出演者,,Performers,
,,,
,三船敏郎,,Toshiro Mifune
,京マチ子,,Machiko Kyo
,志村喬,,Takashi Shimura
,森雅之,,Masayuki Mori
,,,
,千秋実,,Minoru Chiaki
,上田吉二郎,,Kichijiro Ueda
,本間文子,,Noriko Honma
,加東大介,,Daisuke Kato
,,,
監督,黒澤明,Director,Akira Kurosawa
