企画,久保寺生郎,Planning,Ikuo Kubodera
原作,子母沢寛,Original Story,Kan Shimozawa
脚本,新藤兼人,Screenplay,Kaneto Shindo
,,,
撮影,武田千吉郎,Photography,Senkichiro Takeda
録音,大谷巌,Sound,Iwao Otani
照明,山下礼二郎,Lighting,Reijiro Yamashita
美術,西岡善信,Art,Yoshinobu Nishioka
,,,
音楽,斎藤一郎,Music,Ichiro Saito
編集,谷口登司夫,Editor,Toshio Taniguchi
擬斗,楠本栄一,Action,Eiichi Kusumoto
助監督,宮嶋八蔵,Assistant Director,Yoshizo Miyajima
製作主任,小沢宏,Production Manager,Hiroshi Ozawa
現像,東洋現像所,Developing,Toyo Laboratory
,,,
出演者,,Performers,
,,,
,勝新太郎,,Shintaro Katsu
,,,
,安田道代,,Michiyo Masuda
,東野孝彦,,Takahiko Tono
,,,
,山形勲,,Isao Yamagata
,五味龍太郎,,Ryutaro Gomi
,千波丈太郎,,Jotaro Senba
,井川比佐志,,Hisashi Igawa
,田中邦衛,,Kunie Tanaka
,三島雅夫,,Masao Mishima
,,,
,守田学,,Kakuya Morita
,伊達三郎,,Saburo Date
,堀北幸夫,,Yukio Horikita
,杉山昌三九,,Shosaku Sugiyama
,寺島雄作,,Yusaku Terashima
,原聖四郎,,Shiro Harasei
,南条新太郎,,Shintaro Nanjo
,荒木忍,,Shinobu Araki
,,,
,勝村淳,,Jun Katsumura
,舟木洋一,,Yoichi Funaki
,沖時男,,Tokio Oki
,東良之助,,Toshiaki Higashi
,志賀明,,Akira Shiga
,徳田竹司,,Takeshi Tokuda
,園恵子,,Keiko En
,森下昌子,,Masao Morishita
,小林加奈枝,,Kanae Kobayashi
,,,
監督,池広一夫,Director,Kazuo Ikehiro
