製作,田中友幸,Producer,Tomoyuki Tanaka
,田中文雄,,Fumio Tanaka
,,,
原作,小松左京,Original Story,Sakyo Komatsu
,早川書房刊「エスパイ」,,Hayakawa Shobo Publishers “Espy”
,,,
脚本,小川英,Screenplay,Ei Ogawa
,,,
撮影,上田正治,Photography,Shoji Ueda
,原一民,,Kazumi Hara
美術,村木忍,Art,Shinobu Muraki
録音,伴利也,Sound,Toshiya Ban
照明,森本正邦,Lighting,Masakuni Morimoto
スチール,中尾孝,Stills,Takashi Nakao
,,,
音楽,平尾昌晃,Music,Masaaki Hirao
,京建輔,,Kensuke Kyo
主題歌,フィリップスレコード,Theme Song,Phillips Records
唄,尾崎紀世彦,Performer,Kiyohiko Ozaki
『愛こそすべて』,,“All We Need Is Love”,
作詞,山口洋子,Lyricist,Yoko Yamaguchi
作曲,平尾昌晃,Composition,Masaaki Hirao
編曲,京建輔,Arranagment,Kensuke Kyo
,,,
監督助手,西川常三郎,Assistant Director,Tsunesaburo Nishikawa
編集,池田美千子,Editor,Michiko Ikeda
効果,東宝効果集団,Effects,Toho Effects Group
整音,東宝録音センター,Dubbing,Toho Sound Center
製作担当者,篠田啓助,Production Manager,Keisuke Shinoda
,,,
特殊技術,,Special Effects,
撮影,富岡素敬,Photography,Motoyoshi Tomioka
照明,大口良雄,Lighting,Yoshio Oguchi
合成,三瓶一信,Synthesis,Kazunobu Sanpei
作画,塚田猛昭,Illustration,Takeaki Tsukada
光学撮影,宮西武史,Optical Photography,Takeshi Miyanishi
操演,小川昭二,Physical Effects,Shoji Ogawa
特殊効果,渡辺忠昭,Sound Effects,Tadaaki Watanabe
監督助手,田渕吉男,Assistant Director,Yoshio Tabuchi
,,,
衣装協力,ロンシャン株式会社,Costume Cooperation,Longchamp Corporation
由実かおる衣装デザイン,志村雅久 (そごう),Kaoru Yumi Costume Design,Masahisa Shimura (Sogo)
スーツ提供,そごう,Suit Providers,Sogo
,アンジェロ,,Angelo
,リノーリコ紳士服,,Rino Rico Men’s Clothing
毛皮,パリオン (真田商事),Fur,Parion (Shoji Sanada)
アクセサリー,東京工芸 (株),Accessories,"Tokyo Crafts Co., Ltd."
,,,
出演者,,Performers,
,,,
,藤岡弘,,Hiroshi Fujioka
,,,
,由美かおる,,Kaoru Yumi
,,,
,草刈正雄,,Masao Kusakari
,,,
,岡田英次,,Eiji Okada
,睦五郎,,Goro Mutsumi
,,,
,内田勝正,,Katsumasa Uchida
,高村ルナ,,Luna Takamura
,山谷初男,,Hatsuo Yamaya
,ジミー・ショウ,,Jimmy Shaw
,,,
,アンドリュー・ヒューズ,,Andrew Hughes
,スティーブ・グリーン,,Steve Green
,ウィリー・ドーシー,,Willy Dorsey
,ロルフ・イエッサー,,Ralph Jesser
,フランツ・グルーバー,,Franz Gruber
,,,
,伊藤光一,,Koichi Ito
,勝部義夫,,Yoshio Katsube
,細井利雄,,Toshio Hosoi
,守田比呂也,,Hiroya Morita
技斗,渡辺高光,Action,Takamitsu Watanabe
,高橋一俊,,Kazutoshi Takahashi
,ジャパン・アクションクラブ,,Japan Action Club
,大野剣友会,,Ono Swordsmen Society
,,,
,加山雄三,,Yuzo Kayama
,,,
,若山富三郎（特別出演）,,Tomisaburo Wakayama (Special Appearance)
,,,
特技監督,中野昭慶,Special Effects Director,Teruyoshi Nakano
協力監督,大森健次郎,Co-Director,Kenjiro Omori
,,,
監督,福田純,Director,Jun Fukuda
