製作,永田雅一,Producer,Masaichi Nagata
,,,
企画,奥田久司,Planning,Hisashi Okuda
脚本,吉田哲郎,Screenplay,Tetsuro Yoshida
,,,
撮影,森田富士郎,Photography,Fujio Morita
録音,林土太郎,Sound,Tsuchitaro Hayashi
照明,美間博,Lighting,Hiroshi Mima
美術,内藤昭,Art,Akira Naito
音楽,伊福部昭,Music,Akira Ifukube
,,,
編集,山田弘,Editor,Hiroshi Yamada
特撮合成,田中貞造,Composition,Teizo Tanaka
擬斗,楠本栄一,Action,Eiichi Kusumoto
音響効果,倉嶋暢,Sound Effects,Manabu Kurashima
助監督,西沢鋭治,Assistant Director,Eiji Nishizawa
製作主任,田辺満,Production Manager,Mitsuru Tanabe
現像,東洋現像所,Developing,Toyo Laboratory
,,,
出演者,,Performers,
,,,
,高田美和,,Miwa Takada
,青山良彦,,Yoshihiko Aoyama
,藤巻潤,,Jun Fujimaki
,,,
,五味龍太郎,,Ryutaro Gomi
,島田竜三,,Ryuzo Shimada
,遠藤辰雄,,Tatsuo Endo
,杉山昌三九,,Shosaku Sugiyama
,橋本力,,Chikara Hashimoto
,伊達三郎,,Saburo Date
,,,
,月宮於登女,,Otome Tsukimiya
,香山恵子,,Keiko Kayama
,尾上栄五郎,,Eigoro Onoe
,木村玄,,Gen Kimura
,二宮秀樹,,Hideki Ninomiya
,出口静宏,,Shizuhiro Izuguchi
,伴勇太郎,,Yutaro Ban
,,,
,黒木英男,,Hideo Kuroki
,志賀明,,Akira Shiga
,大杉潤,,Jun Osugi
,勝村淳,,Jun Katsumura
,森内一夫,,Kazuo Moriuchi
,雨宮旭,,Akira Amemiya
,暁勝二郎,,Katsujiro Akatsuki
,上原寛二,,Kenji Uehara
,森下昌子,,Masako Morishita
,吉川初美,,Hatsumi Yoshikawa
,,,
監督,安田公義,Director,Kimiyoshi Yasuda
特撮監督,黒田義之,Special Effects Director,Yoshiyuki Kuroda
