製作,勝新太郎,Producer,Shintaro Katsu
製作補佐,西岡弘善,Assistant Producer,Hiroyoshi Nishioka
,,,
原作,子母沢寛,Original Story,Kan Shimozawa
脚本,山田隆之,Screenplay,Takayuki Yamada
,勝新太郎,,Shintaro Katsu
,（篇中一部分宇野信夫作「雲の別路」より）,,From an excerpt of Nobuo Uno’s work “Another Path of the Cloud”
,,,
撮影,宮川一夫,Photography,Kazuo Miyagawa
録音,大角正夫,Sound,Masao Osumi
照明,中岡源権,Lighting,Genji Nakaoka
美術,西岡善信,Art,Yoshinobu Nishioka
音楽,富田勲,Music,Isao Tomita
,,,
編集,谷口登司夫,Editor,Toshio Taniguchi
衣裳考証,上野芳生,Costume Research,Yoshio Ueno
音響効果,倉島暢,Sound Effects,Manabu Kurashima
擬斗,楠本栄一,Action,Eiichi Kusumoto
助監督,国原俊明,Assistant Director,Toshiaki Kohara
製作主任,眞田正典,Production Manager,Masanori Sanada
語り手,近藤洋介,Narrator,Yosuke Kondo
現像,東洋現像所,Developing,Toyo Laboratory
,,,
出演者,,Performers,
,,,
,勝新太郎,,Shintaro Katsu
,,,
,大原麗子（東映）,,Reiko Ohara (Toei)
,ピーター,,Peter
,吉行和子,,Kazuko Yoshiyuki
,,,
,西村晃,,Ko Nishimura
,金田龍之介,,Ryunosuke Kaneda
,田中邦衛,,Kunie Tanaka
,,,
,なべおさみ,,Osami Nabe
,長沢純,,Jun Nagasawa
,正司敏江・玲児,,Toshie & Reiko Shoji
,,,
,近藤洋介,,Yosuke Kondo
,田武謙三,,Kenzo Tabu
,吉田義夫,,Yoshio Yoshida
,北村英三,,Eizo Kitamura
,大川修,,Osamu Okawa
,清水彰,,Akira Shimizu
,,,
,新條多久美,,Kumi Shinjita
,川崎あかね,,Akane Kawasaki
,近江輝子,,Teruko Omi
,水上保広,,Yasuhiro Minakami
,浅若芳太郎,,Yoshitaro Asaka
,五味龍太郎,,Ryutaro Gomi
,,,
,浜田雄史,,Hideo Hamada
,玉置一恵,,Kazue Tamaki
,堀北幸夫,,Yukio Horikita
,北野拓也,,Takuya Kitano
,黒木現,,Gen Kuroki
,伊吹新吾,,Shingo Ibuki
,小林加奈枝,,Kanae Kobayashi
,,,
,勝村淳,,Jun Katsumura
,新関順司郎,,Shinjiro Shinsho
,布目真爾,,Masa Tsuyoshi
,里見潤,,Jun Satomi
,新田章,,Aya Nitta
,谷口和子,,Kazuko Taniguchi
,高寺正,,Masa Takadera
,三木豊,,Yutaka Miki
,,,
,森雅之（東宝）,,Masayuki Mori (Toho)
,,,
,仲代達矢,,Tatsuya Nakadai
,,,
監督,三隅研次,Director,Kenji Misumi
