製作,中島 渉,Producer,Wataru Nakajima
製作補,島田昭彦,Co-Producer,Akihiko Shimada
,,,
脚本,元持栄美,Screenplay,Eibi Motomochi
,石田守良,,Moriyoshi Ishida
,二本松嘉瑞,,Kazui Nihonmatsu
監修,光瀬龍,Supervisor,Ryu Mitsuse
,,,
撮影,平瀬静雄,Photography,Shizuo Hirase
,大越千虎,,Chita Okoshi
美術,重田重盛,Art,Shigemori Shigeta
音楽,いずみたく,Music,Taku Izumi
,,,
照明,津吹正,Lighting,Masa Tsubuki
,高橋利文,,Toshifumi Takahashi
編集,杉原よし,Editor,Yoshi Sugihara
録音,中村寛,Sound,Hiroshi Nakamura
調音,松本隆司,Articulation,Ryuji Matsumoto
,,,
監督助手,白木慶二,Assistant Director,Keiji Shiraki
,伊藤茂,,Shigeru Ito
装置,太田正次郎,Apparatus,Shojiro Ota
光学技術,石川智弘,Optical Effects,Tomohiro Ishikawa
進行,福山正幸,Progress,Masayuki Fukuyama
,萩原辰雄,,Tatsuo Hagiwara
製作助手,武藤三郎,Production Assistant,Saburo Muto
現像,東洋現像所,Developing,Toyo Laboratory
製作主任,内藤誠,Production Manager,Makoto Naito
,,,
特撮監修,川上景司,Special Effects Supervisor,Keiji Kawakami
特撮美術,福田太郎,Special Effects Art,Taro Fukuda
協力,日本特撮株式会社,Cooperation,Japan Sci-Fi Corporation
主題歌,キングレコード,Theme Song,King Records
"""ギララのロック""",,“Guirara’s Rock”,
"""月と星のバラード""",,“Moon and Star Ballad”,
作詞,永六輔,Lyrics,Yoshiaki Ei
作曲,いずみたく,Composition,Taku Izumi
唄,倍賞千恵子,Performer,Chieko Baisho
,ボニー・ジャックス,,Bonnie Jacks
協賛,渡辺製菓,Sponsorship,Watanabe Confectionery
,,,
出演,,Appearing,
,,,
,和崎俊也,,Shunya Wazaki
,原田糸子,,Itoko Harada
,,,
,柳沢眞一,,Shinichi Yanagisawa
,園井啓介,,Keisuke Sonoi
,藤岡弘,,Hiroshi Fujioka
,岡田英次,,Eiji Okada
,,,
,ペギー・ニール,,Peggy Neal
,フランツ・グルーベル,,Franz Gruber
,マイク・ダニーン,,Mike Daneen
,,,
,北竜二,,Ryuji Kita
,穂積隆信,,Takanobu Hatsumi
,渡辺紀行,,Toshiyuki Watanabe
,浜田寅彦,,Torahiko Hamada
,,,
,大屋満,,Mitsuru Oya
,仲子大介,,Daisuke Nakako
,須藤照夫,,Teruo Sudo
,小田草之介,,Kodosuke Oda
,加島潤,,Jun Kashima
,中田耕二,,Koji Nakada
,キャッシー・ホーラン,,Kathy Horan
,,,
,川村禾門,,Homemon Kawamura
,小森英明,,Hideaki Komori
,山中淳,,Jun Yamanaka
,沖秀一,,Shuichi Oki
,園田健二,,Kenji Sonoda
,加登秀樹,,Hidaki Kato
,川島輝満,,Akimitsu Kawashima
,比嘉照子,,Toshiko Higa
,深山悦子,,Etsuko Miyama
,,,
監督,二本松嘉瑞,Director,Kazui Nihonmatsu
特撮監督,池田博,Special Effects Director,Hiroshi Ikeda
