製作,田中友幸,Producer,Tomoyuki Tanaka
,,,
原作,中村真一郎,Original Story,Shinichiro Nakamura
,福永武彦,,Takehiko Fukunaga
,堀田善衛,,Yoshie Hotta
,『週刊朝日』斫載,,As published in “Asahi Weekly”
脚本,関沢新一,Screenplay,Shinichi Sekizawa
,,,
撮影,小泉一,Photography,Hajime Koizumi
美術,北猛夫,Art,Takeo Kita
,安倍輝明,,Teruaki Abe
録音,藤縄正一,Sound,Shoichi Fujinawa
,宮崎正信,,Masanobu Miyazaki
照明,高島利雄,Lighting,Toshio Takashima
,,,
音楽,古関裕而,Music,Yuji Koseki
挿入歌,キングレコード,Insert Song,King Records
『インファントの娘』,,“Infant Daughter”,
作詞/作曲,池すすむ,Lyrics/Composition,Susumu Ike
唄,ザ・ピーナッツ,Performer,The Peanuts
振付,県洋二,Choreography,Yoji Ken
,,,
監督助手,野長瀬三摩地,Assistant Director,Samaji Nonagase
編集,平一二,Editor,Kazuji Taira
現像,東洋現像所,Developing,Toyo Laboratory
製作担当者,森田信,Production Manager,Shin Morita
,,,
特殊技術,,Special Effects,
撮影,有川貞昌,Photography,Sadamasa Arikawa
美術,渡辺明,Art,Akira Watanabe
照明,岸田九一郎,Lighting,Kuichiro Kishida
作画合成,向山宏,Compositing,Hiroshi Mukoyama
光学撮影,真野田幸雄,Optical Photography,Yukio Manoda
製作担当者,成田貫,Production Manager,Nuki Narita
,,,
出演者,,Performers,
,,,
,フランキー堺,,Frankie Sakai
,小泉博,,Hiroshi Koizumi
,香川京子,,Kyoko Kagawa
,,,
ザ・ピーナッツ,伊藤ユミ,The Peanuts,Yumi Ito
,伊藤エミ,,Emi Ito
,ジェリー・伊藤,,Jerry Ito
,上原謙,,Ken Uehara
,,,
,平田昭彦,,Akihiko Hirata
,佐原健二,,Kenji Sahara
,河津清三郎,,Seizaburo Kawazu
,志村喬,,Takashi Shimura
,,,
,小杉義男,,Yoshio Kosugi
,田島義文,,Yoshibumi Tajima
,山本廉,,Ren Yamamoto
,加藤春哉,,Haruya Kato
,三島耕,,Ko Mishima
,中村哲,,Tetsu Nakamura
,,,
,広瀬正一,,Shoichi Hirose
,桜井巨郎,,Giro Sakurai
,高木弘,,Hiroshi Takagi
,堤康久,,Yasuhisa Tsutsumi
,三田照子,,Teruko Mita
,岩本弘司,,Koji Iwamoto
,津田光男,,Mitsuo Tsuda
,田山雅充,,Masamitsu Tayama
,三浦敏男,,Toshio Miura
,岡部正,,Tadashi Okabe
,若松明,,Akira Wakamatsu
,中山豊,,Yutaka Nakayama
,,,
,ジョニイ・ユセフ,,Johnny Yusef
,オーベル・ワイアット,,Obel Wyatt
,ハロルド・コンウェイ,,Harold Conway
,ロバート・ダンハム,,Robert Dunham
,山田彰,,Akira Yamada
,宇野晃司,,Koji Uno
,大前亘,,Wataru Omae
,古田俊彦,,Toshihiko Furuta
,松山恵介,,Keisuke Matsuyama
,上村幸之,,Yoshiyuki Uemura
,手塚勝己,,Katsumi Tezuka
,長島武夫,,Takeo Nagashima
,,,
,松本光男,,Mitsuo Matsumoto
,三井紳平,,Kenpei Mitsui
,日方一夫,,Kazuo Hinata
,加藤茂雄,,Shigeo Kato
,緒方燐作,,Rinsaku Ogata
,岡豊,,Yutaka Oka
,速水洸,,Ko Hayami
,佐竹弘行,,Hiroyuki Satake
,今井和雄,,Kazuo Imai
,勝部義夫,,Yoshio Katsube
,安芸津広,,Hiroshi Akitsu
,草間璋夫,,Akio Kusama
,中島春雄,,Haruo Nakajima
,,,
,清水良二,,Ryoji Shimizu
,細川隆一,,Ryuichi Hosokawa
,夏木順平,,Junpei Natsuki
,須田準之助,,Junnosuke Suda
,伊原徳,,Toku Ihara
,関田裕,,Hiroshi Sekita
,吉頂寺晃,,Akira Kichijoji
,橘正晃,,Masaaki Tachibana
,中野トシ子,,Toshiko Nagano
,一万慈鶴恵,,Tazue Ichimanji
,酒井達夫,,Tatsuo Sakai
,山田奈々子,,Nanako Yamada
,日劇ダンシングチーム,,Japan Theater Dancing Team
,,,
特技監督,円谷英二,Special Effects Director,Eiji Tsuburaya 
,,,
監督,本多猪四郎,Director,Ishiro Honda
