企画,久保寺生郎,Planning,Ikuo Kubodera
原作,子母沢寛,Original Story,Kan Shimozawa
脚本,笠原良三,Screenplay,Ryozo Kasahara
,,,
撮影,牧浦地志,Photography,Chikashi Makiura
録音,大谷厳,Sound,Gen Otani
照明,山下礼二郎,Lighting,Reijiro Yamashita
美術,下石坂成典,Art,Shigenori Shimoishizaka
音楽,伊福部昭,Music,Akira Ifukube
,,,
編集,谷口登司夫,Editor,Toshio Taniguchi
擬斗,宮内昌平,Action,Shohei Miyauchi
助監督,友枝稔議,Assistant Director,Minoru Tomoeda
製作主任,西沢鋭治,Production Manager,Eiji Nishizawa
主題歌,大映レコード,Theme Song,Daiei Records
歌,勝新太郎,Performer,Shintaro Katsu
現像,東洋現像所,Developing,Toyo Laboratory
,,,
出演者,,Performers,
,,,
,勝新太郎,,Shintaro Katsu
,,,
,近衛十四郎,,Jushiro Konoe
,高田美和,,Miwa Takada
,,,
,朝丘雪路,,Yukiji Asaoka
,坪内ミキ子,,Mikiko Tsubouchi
,中尾ミエ,,Mie Nakao
,,,
,伊藤孝雄,,Takao Ito
,小池朝雄,,Asao Koike
,磯村みどり,,Modori Isomura
,松村達雄,,Tatsuo Matsumura
,小沢栄太郎,,Eitaro Ozawa
,,,
,千波丈太郎,,Jotaro Senba
,草薙幸二郎,,Kojiro Kusanagi
,田武謙三,,Kenzo Tabu
,なべおさみ,,Osami Nabe
,戸田皓久,,Takahisa Toda
,藤山浩二,,Koji Fujiyama
,水原浩一,,Koichi Mizuhara
,毛利郁子,,Ikuko Mori
,,,
,杉山昌三九,,Shosaku Sugiyama
,寺島雄作,,Yusaku Terashima
,南條新太郎,,Shintaro Nanjo
,伊東光一,,Koichi Ito
,玉置一恵,,Kazue Tamaki
,堀北幸夫,,Yukio Horikita
,沖時男,,Tokio Oki
,斉藤信也,,Shinya Saito
,小林加奈枝,,Kanae Kobayashi
,,,
,勝村淳,,Jun Katsumura
,上原寛二,,Kenji Uehara
,伊東義高,,Yoshitaka Ito
,森内一夫,,Kazuo Moriuchi
,山岡鋭二郎,,Eijiro Yamaoka
,西田弘善,,Hiroyoshi Nishida
,薮内武司,,Takeshi Yabuchi
,園恵子,,Keiko En
,谷口和子,,Kazuko Taniguchi
,,,
監督,三隅研次,Director,Kenji Misumi
