製作,猪股尭,Producer,Takashi Inomata
,,,
脚本,下飯坂菊馬,Screenplay,Kikuma Shimoizaka
,小林久三,,Kyuzo Kobayashi
,,,
撮影,加藤正幸,Photography,Masayuki Kato
,赤松隆司,,Takashi Akamatsu
美術,森田郷平,Art,Kyohei Morita
音楽,西山登,Music,Noboru Nishiyama
,,,
照明,佐久間丈彦,Lighting,Takehiko Sakuma
編集,太田和夫,Editor,Kazuo Ota
録音,小林英男,Sound,Hideo Kobayashi
調音,佐藤広文,Articulation,Hirofumi Sato
,,,
監督助手,立仙雅巳,Assistant Director,Masami Tenzen
進行,池田義徳,Progress,Yoshinori Ikeda
現像,東洋現像所,Developing,Toyo Laboratory
製作主任,川辺一外,Production Manager,Ichigo Kawabe
協力,日本特撮映画株式会社,Cooperation,Japan Sci-Fi Film Corporation
,川上景司,,Keiji Kawakami
,福田太郎,,Taro Fukuda
,,,
出演,,Appearing,
,,,
,松岡きっこ,,Kikko Matsuoka
,入川保則,,Yasunori Irikawa
,,,
,岡田真澄,,Masumi Okada
,内田朝雄,,Asao Uchida
,小池朝雄,,Asao Koike
,,,
,山本紀彦,,Toshihiko Yamamoto
,桔梗恵二郎,,Keijiro Kikiyo
,高木均,,Hitoshi Takagi
,谷口香,,Kaori Taniguchi
,柳川慶子,,Keiko Yanagawa
,,,
,真弓田一夫,,Kazuo Mayumita
,平野稔,,Minoru Hirano
,内田海舟,,Kaishu Uchida
,健部道子,,Michiko Takebe
,竜宮城水中バレエ団,,Dragon Palace Underwater Ballet Company
,,,
,金子信雄,,Nobuo Kaneko
,西村晃,,Ko Nishimura
,,,
監督,松野宏軌,Director,Koki Matsuno
